policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n,source_dir,target_coverage,c_wrong_from_dir
uaat_monotone,0.6,0.6030500000000001,0.04061,0.0676833333333333,0.4,200000,runs\e1_cifar10c\policy_cov60,0.6,
uncertainty_grid,0.6,0.6654,0.05308,0.0884666666666666,0.4,200000,runs\e1_cifar10c\policy_cov60,0.6,
fixed,0.6,0.667025,0.053405,0.0890083333333333,0.4,200000,runs\e1_cifar10c\policy_cov60,0.6,
uaat_monotone,0.7,0.709825,0.081965,0.1170928571428571,0.3,200000,runs\e1_cifar10c\policy_cov70,0.7,
uncertainty_grid,0.7,0.76075,0.09215,0.1316428571428571,0.3,200000,runs\e1_cifar10c\policy_cov70,0.7,
fixed,0.7,0.7618750000000001,0.092375,0.1319642857142857,0.3,200000,runs\e1_cifar10c\policy_cov70,0.7,
uaat_monotone,0.8,0.864425,0.132885,0.16610625,0.1999999999999999,200000,runs\e1_cifar10c\policy_cov80,0.8,
fixed,0.8,0.9087,0.14174,0.177175,0.1999999999999999,200000,runs\e1_cifar10c\policy_cov80,0.8,
uncertainty_grid,0.8,0.9087,0.14174,0.177175,0.1999999999999999,200000,runs\e1_cifar10c\policy_cov80,0.8,
uaat_monotone,0.9,1.0704,0.19408,0.2156444444444444,0.0999999999999999,200000,runs\e1_cifar10c\policy_cov90,0.9,
uncertainty_grid,0.9,1.104175,0.200835,0.22315,0.0999999999999999,200000,runs\e1_cifar10c\policy_cov90,0.9,
fixed,0.9,1.104225,0.200845,0.2231611111111111,0.0999999999999999,200000,runs\e1_cifar10c\policy_cov90,0.9,
