policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
fixed,bottle,0.5606060606060606,3.621212121212121,0.3181818181818182,0.5675675675675675,0.43939393939393945,66
fixed,cable,0.8916666666666667,5.191666666666666,0.5083333333333333,0.5700934579439252,0.10833333333333328,120
fixed,capsule,0.8761904761904762,7.171428571428573,0.7047619047619048,0.8043478260869565,0.12380952380952381,105
fixed,carpet,0.7311827956989247,5.21505376344086,0.4946236559139785,0.6764705882352942,0.26881720430107525,93
fixed,grid,1.0,7.301587301587301,0.7301587301587301,0.7301587301587301,0.0,63
fixed,hazelnut,1.0,6.363636363636363,0.6363636363636364,0.6363636363636364,0.0,88
fixed,leather,0.63,4.07,0.37,0.5873015873015873,0.37,100
fixed,metal_nut,0.782608695652174,6.086956521739131,0.5869565217391305,0.75,0.21739130434782605,92
fixed,pill,0.9328358208955224,7.828358208955224,0.7761194029850746,0.832,0.06716417910447758,134
fixed,screw,1.0,7.421875,0.7421875,0.7421875,0.0,128
fixed,tile,0.6021505376344086,3.6236559139784945,0.3225806451612903,0.5357142857142857,0.3978494623655914,93
fixed,toothbrush,0.8823529411764706,6.0,0.5882352941176471,0.6666666666666666,0.11764705882352944,34
fixed,transistor,0.9,3.1,0.3,0.3333333333333333,0.09999999999999998,80
fixed,wood,0.8412698412698413,6.190476190476191,0.6031746031746031,0.7169811320754716,0.15873015873015872,63
fixed,zipper,0.9752066115702479,7.62809917355372,0.7603305785123967,0.7796610169491526,0.024793388429752095,121
