cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
2:1,2,1,0.6,uaat_monotone,0.55,1.0514492753623188,0.3007246376811594,0.546772068511199,0.4499999999999999,1380
2:1,2,1,0.6,fixed,0.5898550724637681,1.1014492753623188,0.3456521739130435,0.585995085995086,0.4101449275362319,1380
2:1,2,1,0.6,uncertainty_grid,0.5898550724637681,1.1014492753623188,0.3456521739130435,0.585995085995086,0.4101449275362319,1380
2:1,2,1,0.7,uaat_monotone,0.6340579710144928,1.122463768115942,0.3782608695652174,0.5965714285714285,0.3659420289855072,1380
2:1,2,1,0.7,fixed,0.6869565217391305,1.1782608695652177,0.4326086956521739,0.629746835443038,0.3130434782608695,1380
2:1,2,1,0.7,uncertainty_grid,0.6869565217391305,1.1782608695652177,0.4326086956521739,0.629746835443038,0.3130434782608695,1380
2:1,2,1,0.8,uaat_monotone,0.7028985507246377,1.181159420289855,0.4420289855072464,0.6288659793814433,0.2971014492753623,1380
2:1,2,1,0.8,fixed,0.7666666666666667,1.2304347826086957,0.4985507246376812,0.6502835538752363,0.2333333333333332,1380
2:1,2,1,0.8,uncertainty_grid,0.7666666666666667,1.2304347826086957,0.4985507246376812,0.6502835538752363,0.2333333333333332,1380
2:1,2,1,0.9,uaat_monotone,0.8202898550724638,1.2782608695652171,0.5492753623188406,0.6696113074204947,0.1797101449275362,1380
2:1,2,1,0.9,fixed,0.8753623188405797,1.3333333333333333,0.6043478260869565,0.6903973509933775,0.1246376811594203,1380
2:1,2,1,0.9,uncertainty_grid,0.8753623188405797,1.3333333333333333,0.6043478260869565,0.6903973509933775,0.1246376811594203,1380
5:1,5,1,0.6,uaat_monotone,0.4833333333333333,1.7702898550724635,0.2507246376811594,0.5187406296851574,0.5166666666666666,1380
5:1,5,1,0.6,fixed,0.5898550724637681,2.1384057971014494,0.3456521739130435,0.585995085995086,0.4101449275362319,1380
5:1,5,1,0.6,uncertainty_grid,0.5898550724637681,2.1384057971014494,0.3456521739130435,0.585995085995086,0.4101449275362319,1380
5:1,5,1,0.7,uaat_monotone,0.5753623188405798,2.0188405797101447,0.3188405797101449,0.5541561712846348,0.4246376811594202,1380
5:1,5,1,0.7,fixed,0.6869565217391305,2.476086956521739,0.4326086956521739,0.629746835443038,0.3130434782608695,1380
5:1,5,1,0.7,uncertainty_grid,0.6869565217391305,2.476086956521739,0.4326086956521739,0.629746835443038,0.3130434782608695,1380
5:1,5,1,0.8,uaat_monotone,0.6579710144927536,2.331159420289855,0.3978260869565217,0.6046255506607929,0.3420289855072463,1380
5:1,5,1,0.8,fixed,0.7666666666666667,2.726086956521739,0.4985507246376812,0.6502835538752363,0.2333333333333332,1380
5:1,5,1,0.8,uncertainty_grid,0.7666666666666667,2.726086956521739,0.4985507246376812,0.6502835538752363,0.2333333333333332,1380
5:1,5,1,0.9,uaat_monotone,0.7260869565217392,2.571014492753623,0.4594202898550724,0.6327345309381237,0.2739130434782608,1380
5:1,5,1,0.9,fixed,0.8753623188405797,3.1463768115942026,0.6043478260869565,0.6903973509933775,0.1246376811594203,1380
5:1,5,1,0.9,uncertainty_grid,0.8753623188405797,3.1463768115942026,0.6043478260869565,0.6903973509933775,0.1246376811594203,1380
10:1,10,1,0.6,uaat_monotone,0.4239130434782608,2.6340579710144927,0.2057971014492753,0.4854700854700854,0.5760869565217391,1380
10:1,10,1,0.6,fixed,0.5898550724637681,3.866666666666666,0.3456521739130435,0.585995085995086,0.4101449275362319,1380
10:1,10,1,0.6,uncertainty_grid,0.5898550724637681,3.866666666666666,0.3456521739130435,0.585995085995086,0.4101449275362319,1380
10:1,10,1,0.7,uaat_monotone,0.4775362318840579,2.986231884057972,0.2463768115942029,0.5159332321699545,0.5224637681159421,1380
10:1,10,1,0.7,fixed,0.6869565217391305,4.639130434782609,0.4326086956521739,0.629746835443038,0.3130434782608695,1380
10:1,10,1,0.7,uncertainty_grid,0.6869565217391305,4.639130434782609,0.4326086956521739,0.629746835443038,0.3130434782608695,1380
10:1,10,1,0.8,uaat_monotone,0.5492753623188406,3.436231884057971,0.2985507246376812,0.5435356200527705,0.4507246376811594,1380
10:1,10,1,0.8,fixed,0.7666666666666667,5.218840579710145,0.4985507246376812,0.6502835538752363,0.2333333333333332,1380
10:1,10,1,0.8,uncertainty_grid,0.7666666666666667,5.218840579710145,0.4985507246376812,0.6502835538752363,0.2333333333333332,1380
10:1,10,1,0.9,uaat_monotone,0.6456521739130435,4.209420289855073,0.3855072463768116,0.5970819304152637,0.3543478260869565,1380
10:1,10,1,0.9,fixed,0.8753623188405797,6.168115942028985,0.6043478260869565,0.6903973509933775,0.1246376811594203,1380
10:1,10,1,0.9,uncertainty_grid,0.8753623188405797,6.168115942028985,0.6043478260869565,0.6903973509933775,0.1246376811594203,1380
20:1,20,1,0.6,uaat_monotone,0.3007246376811594,3.2644927536231885,0.1282608695652174,0.4265060240963855,0.6992753623188406,1380
20:1,20,1,0.6,fixed,0.5898550724637681,7.323188405797101,0.3456521739130435,0.585995085995086,0.4101449275362319,1380
20:1,20,1,0.6,uncertainty_grid,0.5898550724637681,7.323188405797101,0.3456521739130435,0.585995085995086,0.4101449275362319,1380
20:1,20,1,0.7,uaat_monotone,0.3804347826086957,4.126811594202898,0.1753623188405797,0.4609523809523809,0.6195652173913043,1380
20:1,20,1,0.7,fixed,0.6869565217391305,8.965217391304348,0.4326086956521739,0.629746835443038,0.3130434782608695,1380
20:1,20,1,0.7,uncertainty_grid,0.6869565217391305,8.965217391304348,0.4326086956521739,0.629746835443038,0.3130434782608695,1380
20:1,20,1,0.8,uaat_monotone,0.4340579710144927,4.826811594202898,0.2130434782608695,0.4908180300500834,0.5659420289855073,1380
20:1,20,1,0.8,fixed,0.7666666666666667,10.204347826086956,0.4985507246376812,0.6502835538752363,0.2333333333333332,1380
20:1,20,1,0.8,uncertainty_grid,0.7666666666666667,10.204347826086956,0.4985507246376812,0.6502835538752363,0.2333333333333332,1380
20:1,20,1,0.9,uaat_monotone,0.4739130434782608,5.395652173913044,0.2434782608695652,0.5137614678899083,0.5260869565217392,1380
20:1,20,1,0.9,fixed,0.8753623188405797,12.21159420289855,0.6043478260869565,0.6903973509933775,0.1246376811594203,1380
20:1,20,1,0.9,uncertainty_grid,0.8753623188405797,12.21159420289855,0.6043478260869565,0.6903973509933775,0.1246376811594203,1380
