target_coverage,result_dir,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
0.4,runs\e2_mvtec_ad\policy_grid_40,uaat_monotone,0.2456521739130434,1.7253623188405798,0.0971014492753623,0.3952802359882006,0.7543478260869565,1380
0.4,runs\e2_mvtec_ad\policy_grid_40,fixed,0.386231884057971,2.4833333333333334,0.1869565217391304,0.4840525328330206,0.613768115942029,1380
0.4,runs\e2_mvtec_ad\policy_grid_40,uncertainty_grid,0.386231884057971,2.4833333333333334,0.1869565217391304,0.4840525328330206,0.613768115942029,1380
0.41,runs\e2_mvtec_ad\policy_grid_41,uaat_monotone,0.2659420289855072,1.7340579710144928,0.1,0.3760217983651226,0.7340579710144928,1380
0.41,runs\e2_mvtec_ad\policy_grid_41,fixed,0.3927536231884058,2.5275362318840577,0.1920289855072463,0.488929889298893,0.6072463768115942,1380
0.41,runs\e2_mvtec_ad\policy_grid_41,uncertainty_grid,0.3927536231884058,2.5275362318840577,0.1920289855072463,0.488929889298893,0.6072463768115942,1380
0.42,runs\e2_mvtec_ad\policy_grid_42,uaat_monotone,0.2782608695652174,1.7869565217391303,0.1065217391304347,0.3828125,0.7217391304347827,1380
0.42,runs\e2_mvtec_ad\policy_grid_42,fixed,0.3971014492753623,2.5594202898550726,0.1956521739130435,0.4927007299270073,0.6028985507246376,1380
0.42,runs\e2_mvtec_ad\policy_grid_42,uncertainty_grid,0.3971014492753623,2.5594202898550726,0.1956521739130435,0.4927007299270073,0.6028985507246376,1380
0.43,runs\e2_mvtec_ad\policy_grid_43,uaat_monotone,0.2847826086956522,1.8311594202898551,0.1115942028985507,0.3918575063613231,0.7152173913043478,1380
0.43,runs\e2_mvtec_ad\policy_grid_43,fixed,0.4028985507246377,2.5898550724637683,0.1992753623188405,0.4946043165467625,0.5971014492753624,1380
0.43,runs\e2_mvtec_ad\policy_grid_43,uncertainty_grid,0.4028985507246377,2.5898550724637683,0.1992753623188405,0.4946043165467625,0.5971014492753624,1380
