uaat_target,baseline,baseline_target,uaat_coverage,baseline_coverage,coverage_gap,uaat_risk,baseline_risk,risk_delta_baseline_minus_uaat,risk_reduction_pct,uaat_wrong_auto_rate,baseline_wrong_auto_rate,wrong_auto_delta,uaat_auto_error_rate,baseline_auto_error_rate,uaat_defer_rate,baseline_defer_rate,n
0.4,fixed,0.4,0.245652174,0.386231884,0.14057971,1.725362319,2.483333333,0.757971014,30.52232273,0.0971014493,0.186956522,0.0898550725,0.395280236,0.484052533,0.754347826,0.613768116,1380
0.4,uncertainty_grid,0.4,0.245652174,0.386231884,0.14057971,1.725362319,2.483333333,0.757971014,30.52232273,0.0971014493,0.186956522,0.0898550725,0.395280236,0.484052533,0.754347826,0.613768116,1380
0.41,fixed,0.4,0.265942029,0.386231884,0.120289855,1.734057971,2.483333333,0.749275362,30.17216224,0.1,0.186956522,0.0869565217,0.376021798,0.484052533,0.734057971,0.613768116,1380
0.41,uncertainty_grid,0.4,0.265942029,0.386231884,0.120289855,1.734057971,2.483333333,0.749275362,30.17216224,0.1,0.186956522,0.0869565217,0.376021798,0.484052533,0.734057971,0.613768116,1380
0.42,fixed,0.4,0.27826087,0.386231884,0.107971014,1.786956522,2.483333333,0.696376812,28.04201926,0.106521739,0.186956522,0.0804347826,0.3828125,0.484052533,0.72173913,0.613768116,1380
0.42,uncertainty_grid,0.4,0.27826087,0.386231884,0.107971014,1.786956522,2.483333333,0.696376812,28.04201926,0.106521739,0.186956522,0.0804347826,0.3828125,0.484052533,0.72173913,0.613768116,1380
0.43,fixed,0.4,0.284782609,0.386231884,0.101449275,1.83115942,2.483333333,0.652173913,26.26203677,0.111594203,0.186956522,0.0753623188,0.391857506,0.484052533,0.715217391,0.613768116,1380
0.43,uncertainty_grid,0.4,0.284782609,0.386231884,0.101449275,1.83115942,2.483333333,0.652173913,26.26203677,0.111594203,0.186956522,0.0753623188,0.391857506,0.484052533,0.715217391,0.613768116,1380
0.44,fixed,0.4,0.303623188,0.386231884,0.0826086957,1.935507246,2.483333333,0.547826087,22.06011088,0.123913043,0.186956522,0.0630434783,0.408114558,0.484052533,0.696376812,0.613768116,1380
0.44,uncertainty_grid,0.4,0.303623188,0.386231884,0.0826086957,1.935507246,2.483333333,0.547826087,22.06011088,0.123913043,0.186956522,0.0630434783,0.408114558,0.484052533,0.696376812,0.613768116,1380
0.45,fixed,0.4,0.314492754,0.386231884,0.0717391304,1.997101449,2.483333333,0.486231884,19.57980741,0.13115942,0.186956522,0.0557971014,0.417050691,0.484052533,0.685507246,0.613768116,1380
0.45,uncertainty_grid,0.4,0.314492754,0.386231884,0.0717391304,1.997101449,2.483333333,0.486231884,19.57980741,0.13115942,0.186956522,0.0557971014,0.417050691,0.484052533,0.685507246,0.613768116,1380
