cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
2:1,2,1,0.6,fixed,0.6283891547049442,1.0191387559808611,0.3237639553429027,0.5152284263959391,0.3716108452950558,1254
2:1,2,1,0.6,uncertainty_grid,0.6283891547049442,1.0191387559808611,0.3237639553429027,0.5152284263959391,0.3716108452950558,1254
2:1,2,1,0.6,uaat_monotone,0.6419457735247209,1.0279106858054226,0.3349282296650718,0.5217391304347826,0.358054226475279,1254
2:1,2,1,0.7,uaat_monotone,0.7248803827751196,1.047049441786284,0.3859649122807017,0.5324532453245324,0.2751196172248804,1254
2:1,2,1,0.7,fixed,0.7304625199362041,1.055821371610845,0.3931419457735247,0.5382096069868996,0.2695374800637958,1254
2:1,2,1,0.7,uncertainty_grid,0.7304625199362041,1.055821371610845,0.3931419457735247,0.5382096069868996,0.2695374800637958,1254
2:1,2,1,0.8,uaat_monotone,0.8078149920255183,1.09170653907496,0.4497607655502392,0.5567620927936822,0.1921850079744816,1254
2:1,2,1,0.8,fixed,0.8261562998405104,1.1004784688995215,0.4633173843700159,0.5608108108108109,0.1738437001594895,1254
2:1,2,1,0.8,uncertainty_grid,0.8261562998405104,1.1004784688995215,0.4633173843700159,0.5608108108108109,0.1738437001594895,1254
2:1,2,1,0.9,uaat_monotone,0.8676236044657097,1.1355661881977672,0.5015948963317385,0.578125,0.1323763955342902,1254
2:1,2,1,0.9,fixed,0.9090909090909092,1.1754385964912282,0.5422647527910686,0.5964912280701754,0.0909090909090909,1254
2:1,2,1,0.9,uncertainty_grid,0.9090909090909092,1.1754385964912282,0.5422647527910686,0.5964912280701754,0.0909090909090909,1254
5:1,5,1,0.6,uaat_monotone,0.5980861244019139,1.9330143540669853,0.3062200956937799,0.512,0.4019138755980861,1254
5:1,5,1,0.6,fixed,0.6283891547049442,1.990430622009569,0.3237639553429027,0.5152284263959391,0.3716108452950558,1254
5:1,5,1,0.6,uncertainty_grid,0.6283891547049442,1.990430622009569,0.3237639553429027,0.5152284263959391,0.3716108452950558,1254
5:1,5,1,0.7,uaat_monotone,0.6874003189792663,2.130781499202552,0.3636363636363636,0.5290023201856149,0.3125996810207336,1254
5:1,5,1,0.7,fixed,0.7304625199362041,2.2352472089314195,0.3931419457735247,0.5382096069868996,0.2695374800637958,1254
5:1,5,1,0.7,uncertainty_grid,0.7304625199362041,2.2352472089314195,0.3931419457735247,0.5382096069868996,0.2695374800637958,1254
5:1,5,1,0.8,uaat_monotone,0.7687400318979266,2.324561403508772,0.4186602870813397,0.5446058091286307,0.2312599681020734,1254
5:1,5,1,0.8,fixed,0.8261562998405104,2.4904306220095696,0.4633173843700159,0.5608108108108109,0.1738437001594895,1254
5:1,5,1,0.8,uncertainty_grid,0.8261562998405104,2.4904306220095696,0.4633173843700159,0.5608108108108109,0.1738437001594895,1254
5:1,5,1,0.9,uaat_monotone,0.8261562998405104,2.4904306220095696,0.4633173843700159,0.5608108108108109,0.1738437001594895,1254
5:1,5,1,0.9,fixed,0.9090909090909092,2.802232854864433,0.5422647527910686,0.5964912280701754,0.0909090909090909,1254
5:1,5,1,0.9,uncertainty_grid,0.9090909090909092,2.802232854864433,0.5422647527910686,0.5964912280701754,0.0909090909090909,1254
10:1,10,1,0.6,uaat_monotone,0.5446570972886763,3.14274322169059,0.2687400318979266,0.493411420204978,0.4553429027113237,1254
10:1,10,1,0.6,fixed,0.6283891547049442,3.6092503987240825,0.3237639553429027,0.5152284263959391,0.3716108452950558,1254
10:1,10,1,0.6,uncertainty_grid,0.6283891547049442,3.6092503987240825,0.3237639553429027,0.5152284263959391,0.3716108452950558,1254
10:1,10,1,0.7,uaat_monotone,0.6331738437001595,3.660287081339713,0.3293460925039872,0.5201511335012594,0.3668261562998405,1254
10:1,10,1,0.7,fixed,0.7304625199362041,4.2009569377990434,0.3931419457735247,0.5382096069868996,0.2695374800637958,1254
10:1,10,1,0.7,uncertainty_grid,0.7304625199362041,4.2009569377990434,0.3931419457735247,0.5382096069868996,0.2695374800637958,1254
10:1,10,1,0.8,uaat_monotone,0.7089314194577353,4.047049441786284,0.3755980861244019,0.5298087739032621,0.2910685805422647,1254
10:1,10,1,0.8,fixed,0.8261562998405104,4.807017543859649,0.4633173843700159,0.5608108108108109,0.1738437001594895,1254
10:1,10,1,0.8,uncertainty_grid,0.8261562998405104,4.807017543859649,0.4633173843700159,0.5608108108108109,0.1738437001594895,1254
10:1,10,1,0.9,uaat_monotone,0.7719298245614035,4.43859649122807,0.4210526315789473,0.5454545454545454,0.2280701754385965,1254
10:1,10,1,0.9,fixed,0.9090909090909092,5.513556618819776,0.5422647527910686,0.5964912280701754,0.0909090909090909,1254
10:1,10,1,0.9,uncertainty_grid,0.9090909090909092,5.513556618819776,0.5422647527910686,0.5964912280701754,0.0909090909090909,1254
20:1,20,1,0.6,uaat_monotone,0.4178628389154705,4.521531100478469,0.1969696969696969,0.4713740458015267,0.5821371610845295,1254
20:1,20,1,0.6,fixed,0.6283891547049442,6.846889952153109,0.3237639553429027,0.5152284263959391,0.3716108452950558,1254
20:1,20,1,0.6,uncertainty_grid,0.6283891547049442,6.846889952153109,0.3237639553429027,0.5152284263959391,0.3716108452950558,1254
20:1,20,1,0.7,uaat_monotone,0.5063795853269537,5.46969696969697,0.2488038277511961,0.4913385826771653,0.4936204146730463,1254
20:1,20,1,0.7,fixed,0.7304625199362041,8.13237639553429,0.3931419457735247,0.5382096069868996,0.2695374800637958,1254
20:1,20,1,0.7,uncertainty_grid,0.7304625199362041,8.13237639553429,0.3931419457735247,0.5382096069868996,0.2695374800637958,1254
20:1,20,1,0.8,uaat_monotone,0.5677830940988836,6.221690590111643,0.2894736842105263,0.5098314606741573,0.4322169059011164,1254
20:1,20,1,0.8,fixed,0.8261562998405104,9.440191387559809,0.4633173843700159,0.5608108108108109,0.1738437001594895,1254
20:1,20,1,0.8,uncertainty_grid,0.8261562998405104,9.440191387559809,0.4633173843700159,0.5608108108108109,0.1738437001594895,1254
20:1,20,1,0.9,uaat_monotone,0.6674641148325359,7.366028708133971,0.3516746411483253,0.5268817204301075,0.3325358851674641,1254
20:1,20,1,0.9,fixed,0.9090909090909092,10.936204146730462,0.5422647527910686,0.5964912280701754,0.0909090909090909,1254
20:1,20,1,0.9,uncertainty_grid,0.9090909090909092,10.936204146730462,0.5422647527910686,0.5964912280701754,0.0909090909090909,1254
