policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n,source_dir,target_coverage,c_wrong_from_dir
fixed,0.5996810207336523,1.9274322169059013,0.3054226475279107,0.5093085106382979,0.4003189792663477,1254,runs\e2_mvtec_loco\policy_cov60,0.6,
uncertainty_grid,0.5996810207336523,1.9274322169059013,0.3054226475279107,0.5093085106382979,0.4003189792663477,1254,runs\e2_mvtec_loco\policy_cov60,0.6,
uaat_monotone,0.5996810207336523,1.9393939393939392,0.3078149920255183,0.5132978723404256,0.4003189792663477,1254,runs\e2_mvtec_loco\policy_cov60,0.6,
fixed,0.7001594896331739,2.1578947368421053,0.3716108452950558,0.530751708428246,0.2998405103668261,1254,runs\e2_mvtec_loco\policy_cov70,0.7,
uncertainty_grid,0.7001594896331739,2.1578947368421053,0.3716108452950558,0.530751708428246,0.2998405103668261,1254,runs\e2_mvtec_loco\policy_cov70,0.7,
uaat_monotone,0.7001594896331739,2.161881977671451,0.372408293460925,0.5318906605922551,0.2998405103668261,1254,runs\e2_mvtec_loco\policy_cov70,0.7,
fixed,0.7998405103668261,2.4011164274322168,0.4401913875598086,0.5503489531405783,0.2001594896331738,1254,runs\e2_mvtec_loco\policy_cov80,0.8,
uncertainty_grid,0.7998405103668261,2.4011164274322168,0.4401913875598086,0.5503489531405783,0.2001594896331738,1254,runs\e2_mvtec_loco\policy_cov80,0.8,
uaat_monotone,0.7998405103668261,2.4250398724082936,0.4449760765550239,0.5563310069790628,0.2001594896331738,1254,runs\e2_mvtec_loco\policy_cov80,0.8,
fixed,0.8995215311004785,2.763955342902712,0.532695374800638,0.5921985815602837,0.1004784688995215,1254,runs\e2_mvtec_loco\policy_cov90,0.9,
uncertainty_grid,0.8995215311004785,2.763955342902712,0.532695374800638,0.5921985815602837,0.1004784688995215,1254,runs\e2_mvtec_loco\policy_cov90,0.9,
uaat_monotone,0.8995215311004785,2.767942583732057,0.5334928229665071,0.5930851063829787,0.1004784688995215,1254,runs\e2_mvtec_loco\policy_cov90,0.9,
