policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n,source_dir,target_coverage,c_wrong
uncertainty_grid,0.5999859783599355,1.6301792432988245,0.123016522165876,0.2050323284256446,0.4000140216400645,42791,runs\e3_iwildcam\cost_c10_cov60,0.6,10
fixed,0.5999859783599355,1.6304129372998994,0.1230398915659835,0.2050712783360598,0.4000140216400645,42791,runs\e3_iwildcam\cost_c10_cov60,0.6,10
uaat_monotone,0.5999859783599355,1.6311140193031246,0.123109999766306,0.2051881280673054,0.4000140216400645,42791,runs\e3_iwildcam\cost_c10_cov60,0.6,10
uncertainty_grid,0.6999836414199248,2.1870954172606387,0.1887079058680563,0.2695890228023904,0.3000163585800752,42791,runs\e3_iwildcam\cost_c10_cov70,0.7,10
uaat_monotone,0.6999836414199248,2.2029866093337382,0.1902970250753663,0.2718592461523053,0.3000163585800752,42791,runs\e3_iwildcam\cost_c10_cov70,0.7,10
fixed,0.6999836414199248,2.2104648173681385,0.1910448458788063,0.2729275865522652,0.3000163585800752,42791,runs\e3_iwildcam\cost_c10_cov70,0.7,10
uncertainty_grid,0.799981304479914,2.8643640017760745,0.2664345306255988,0.3330509464828231,0.200018695520086,42791,runs\e3_iwildcam\cost_c10_cov80,0.8,10
uaat_monotone,0.8000046738800215,2.8781285784393917,0.2678133252319413,0.3347647007273683,0.1999953261199785,42791,runs\e3_iwildcam\cost_c10_cov80,0.8,10
fixed,0.8000046738800215,2.880932906452291,0.2680937580332312,0.3351152396810095,0.1999953261199785,42791,runs\e3_iwildcam\cost_c10_cov80,0.8,10
uncertainty_grid,0.9000023369400107,3.606342455189176,0.3506344792129186,0.3895928541753219,0.0999976630599892,42791,runs\e3_iwildcam\cost_c10_cov90,0.9,10
fixed,0.9000023369400107,3.61031525320745,0.3510317590147461,0.3900342750311591,0.0999976630599892,42791,runs\e3_iwildcam\cost_c10_cov90,0.9,10
uaat_monotone,0.9000023369400107,3.611016335210675,0.3511018672150686,0.390112172829248,0.0999976630599892,42791,runs\e3_iwildcam\cost_c10_cov90,0.9,10
uncertainty_grid,0.5999859783599355,2.8603444649575844,0.123016522165876,0.2050323284256446,0.4000140216400645,42791,runs\e3_iwildcam\cost_c20_cov60,0.6,20
fixed,0.5999859783599355,2.8608118529597344,0.1230398915659835,0.2050712783360598,0.4000140216400645,42791,runs\e3_iwildcam\cost_c20_cov60,0.6,20
uaat_monotone,0.5999859783599355,2.861279240961885,0.123063260966091,0.205110228246475,0.4000140216400645,42791,runs\e3_iwildcam\cost_c20_cov60,0.6,20
uncertainty_grid,0.6999836414199248,4.074174475941202,0.1887079058680563,0.2695890228023904,0.3000163585800752,42791,runs\e3_iwildcam\cost_c20_cov70,0.7,20
uaat_monotone,0.6999836414199248,4.112967680119652,0.1906475660769788,0.2723600307147865,0.3000163585800752,42791,runs\e3_iwildcam\cost_c20_cov70,0.7,20
fixed,0.6999836414199248,4.120913276156202,0.1910448458788063,0.2729275865522652,0.3000163585800752,42791,runs\e3_iwildcam\cost_c20_cov70,0.7,20
uncertainty_grid,0.799981304479914,5.528709308032063,0.2664345306255988,0.3330509464828231,0.200018695520086,42791,runs\e3_iwildcam\cost_c20_cov80,0.8,20
uaat_monotone,0.8000046738800215,5.545044518707205,0.2672524596293613,0.3340636228200859,0.1999953261199785,42791,runs\e3_iwildcam\cost_c20_cov80,0.8,20
fixed,0.8000046738800215,5.561870486784604,0.2680937580332312,0.3351152396810095,0.1999953261199785,42791,runs\e3_iwildcam\cost_c20_cov80,0.8,20
uncertainty_grid,0.9000023369400107,7.1126872473183615,0.3506344792129186,0.3895928541753219,0.0999976630599892,42791,runs\e3_iwildcam\cost_c20_cov90,0.9,20
uaat_monotone,0.8999789675399033,7.114112780724919,0.3507045874132411,0.3896808704006647,0.1000210324600967,42791,runs\e3_iwildcam\cost_c20_cov90,0.9,20
fixed,0.9000023369400107,7.120632843354911,0.3510317590147461,0.3900342750311591,0.0999976630599892,42791,runs\e3_iwildcam\cost_c20_cov90,0.9,20
uaat_monotone,0.5999859783599355,0.6459068495711715,0.1229464139655535,0.204915478694399,0.4000140216400645,42791,runs\e3_iwildcam\cost_c2_cov60,0.6,2
uncertainty_grid,0.5999859783599355,0.6460470659718165,0.123016522165876,0.2050323284256446,0.4000140216400645,42791,runs\e3_iwildcam\cost_c2_cov60,0.6,2
fixed,0.5999859783599355,0.6460938047720315,0.1230398915659835,0.2050712783360598,0.4000140216400645,42791,runs\e3_iwildcam\cost_c2_cov60,0.6,2
uncertainty_grid,0.6999836414199248,0.677432170316188,0.1887079058680563,0.2695890228023904,0.3000163585800752,42791,runs\e3_iwildcam\cost_c2_cov70,0.7,2
uaat_monotone,0.6999836414199248,0.6802832371293028,0.1901334392746138,0.271625546689814,0.3000163585800752,42791,runs\e3_iwildcam\cost_c2_cov70,0.7,2
fixed,0.6999836414199248,0.6821060503376879,0.1910448458788063,0.2729275865522652,0.3000163585800752,42791,runs\e3_iwildcam\cost_c2_cov70,0.7,2
uncertainty_grid,0.799981304479914,0.7328877567712837,0.2664345306255988,0.3330509464828231,0.200018695520086,42791,runs\e3_iwildcam\cost_c2_cov80,0.8,2
fixed,0.8000046738800215,0.736182842186441,0.2680937580332312,0.3351152396810095,0.1999953261199785,42791,runs\e3_iwildcam\cost_c2_cov80,0.8,2
uaat_monotone,0.8000046738800215,0.736229580986656,0.2681171274333387,0.3351444512604796,0.1999953261199785,42791,runs\e3_iwildcam\cost_c2_cov80,0.8,2
uncertainty_grid,0.9000023369400107,0.8012666214858265,0.3506344792129186,0.3895928541753219,0.0999976630599892,42791,runs\e3_iwildcam\cost_c2_cov90,0.9,2
fixed,0.9000023369400107,0.8020611810894814,0.3510317590147461,0.3900342750311591,0.0999976630599892,42791,runs\e3_iwildcam\cost_c2_cov90,0.9,2
uaat_monotone,0.8999789675399033,0.8077399453156038,0.3538594564277535,0.3931863623380333,0.1000210324600967,42791,runs\e3_iwildcam\cost_c2_cov90,0.9,2
uncertainty_grid,0.5999859783599355,1.0150966324694446,0.123016522165876,0.2050323284256446,0.4000140216400645,42791,runs\e3_iwildcam\cost_c5_cov60,0.6,5
fixed,0.5999859783599355,1.015213479469982,0.1230398915659835,0.2050712783360598,0.4000140216400645,42791,runs\e3_iwildcam\cost_c5_cov60,0.6,5
uaat_monotone,0.5999859783599355,1.0153303264705196,0.123063260966091,0.205110228246475,0.4000140216400645,42791,runs\e3_iwildcam\cost_c5_cov60,0.6,5
uncertainty_grid,0.6999836414199248,1.243555887920357,0.1887079058680563,0.2695890228023904,0.3000163585800752,42791,runs\e3_iwildcam\cost_c5_cov70,0.7,5
uaat_monotone,0.6999836414199248,1.2508004019536818,0.1901568086747213,0.2716589323273128,0.3000163585800752,42791,runs\e3_iwildcam\cost_c5_cov70,0.7,5
fixed,0.6999836414199248,1.2552405879741069,0.1910448458788063,0.2729275865522652,0.3000163585800752,42791,runs\e3_iwildcam\cost_c5_cov70,0.7,5
uncertainty_grid,0.799981304479914,1.5321913486480805,0.2664345306255988,0.3330509464828231,0.200018695520086,42791,runs\e3_iwildcam\cost_c5_cov80,0.8,5
uaat_monotone,0.799981304479914,1.53686522866958,0.2673693066298988,0.3342194437952793,0.200018695520086,42791,runs\e3_iwildcam\cost_c5_cov80,0.8,5
fixed,0.8000046738800215,1.5404641162861348,0.2680937580332312,0.3351152396810095,0.1999953261199785,42791,runs\e3_iwildcam\cost_c5_cov80,0.8,5
uncertainty_grid,0.9000023369400107,1.8531700591245823,0.3506344792129186,0.3895928541753219,0.0999976630599892,42791,runs\e3_iwildcam\cost_c5_cov90,0.9,5
fixed,0.9000023369400107,1.85515645813372,0.3510317590147461,0.3900342750311591,0.0999976630599892,42791,runs\e3_iwildcam\cost_c5_cov90,0.9,5
uaat_monotone,0.9000023369400107,1.86356944217242,0.352714355822486,0.3919038221852929,0.0999976630599892,42791,runs\e3_iwildcam\cost_c5_cov90,0.9,5
