policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n,source_dir,target_coverage,c_wrong_from_dir
fixed,0.4268420929634736,0.7208525157159216,0.029538921735879,0.0692033944702983,0.5731579070365264,42791,runs\e3_iwildcam\policy_cov60,0.6,
uncertainty_grid,0.4267953541632586,0.7208992545161366,0.029538921735879,0.0692109730055303,0.5732046458367414,42791,runs\e3_iwildcam\policy_cov60,0.6,
uaat_monotone,0.4546750484915052,0.7548316234722254,0.0419013343927461,0.0921566611842105,0.5453249515084948,42791,runs\e3_iwildcam\policy_cov60,0.6,
uncertainty_grid,0.5064616391297235,0.8319272744268655,0.0676777827113178,0.1336286452565522,0.4935383608702764,42791,runs\e3_iwildcam\policy_cov70,0.7,
fixed,0.5092192283424084,0.8424902432754552,0.0703418943235727,0.1381367599816429,0.4907807716575916,42791,runs\e3_iwildcam\policy_cov70,0.7,
uaat_monotone,0.5271902970250754,0.8723095978126242,0.0798999789675399,0.1515581364422182,0.4728097029749246,42791,runs\e3_iwildcam\policy_cov70,0.7,
uaat_monotone,0.5589726811712743,0.9334205790937348,0.0984786520530018,0.1761779338601112,0.4410273188287257,42791,runs\e3_iwildcam\policy_cov80,0.8,
uncertainty_grid,0.6014816199668155,1.0143020728657897,0.123156738566521,0.2047556142668428,0.3985183800331845,42791,runs\e3_iwildcam\policy_cov80,0.8,
fixed,0.6182842186441074,1.0510154004346708,0.1338599238157556,0.2165022489322296,0.3817157813558925,42791,runs\e3_iwildcam\policy_cov80,0.8,
uaat_monotone,0.6779696665186604,1.204692575541586,0.1765324484120492,0.2603839922787908,0.3220303334813396,42791,runs\e3_iwildcam\policy_cov90,0.9,
uncertainty_grid,0.7293589773550513,1.3282232245098269,0.2115164403729756,0.2900032041012496,0.2706410226449487,42791,runs\e3_iwildcam\policy_cov90,0.9,
fixed,0.7476104788390082,1.3886097543876046,0.2272440466453226,0.3039604888874996,0.2523895211609918,42791,runs\e3_iwildcam\policy_cov90,0.9,
