target_coverage,result_dir,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
0.4,runs\e3_iwildcam\policy_grid_40,uaat_monotone,0.3798228599471852,0.6930896683882125,0.0145825056670795,0.0383929120777702,0.6201771400528149,42791
0.4,runs\e3_iwildcam\policy_grid_40,fixed,0.3164684162557547,0.7026944918323946,0.0038325816176298,0.0121104711268645,0.6835315837442453,42791
0.4,runs\e3_iwildcam\policy_grid_40,uncertainty_grid,0.3164684162557547,0.7026944918323946,0.0038325816176298,0.0121104711268645,0.6835315837442453,42791
0.41,runs\e3_iwildcam\policy_grid_41,uaat_monotone,0.383842396765675,0.6930429295879975,0.0153770652707345,0.0400608828006088,0.616157603234325,42791
0.41,runs\e3_iwildcam\policy_grid_41,fixed,0.3210955574770395,0.6997032086186348,0.0041597532191348,0.0129548762736535,0.6789044425229604,42791
0.41,runs\e3_iwildcam\policy_grid_41,uncertainty_grid,0.3210955574770395,0.6997032086186348,0.0041597532191348,0.0129548762736535,0.6789044425229604,42791
0.42,runs\e3_iwildcam\policy_grid_42,uaat_monotone,0.3869505269799724,0.6940244443925124,0.0161949942744969,0.0418528807827032,0.6130494730200275,42791
0.42,runs\e3_iwildcam\policy_grid_42,fixed,0.3270547545044518,0.6967820336051973,0.0047673576219298,0.0145766345123258,0.6729452454955481,42791
0.42,runs\e3_iwildcam\policy_grid_42,uncertainty_grid,0.3265172583019793,0.6970858358065949,0.0047206188217148,0.0144574864013741,0.6734827416980207,42791
0.43,runs\e3_iwildcam\policy_grid_43,fixed,0.3324764553293917,0.6947488957958449,0.0054450702250473,0.0163773107471708,0.6675235446706083,42791
0.43,runs\e3_iwildcam\policy_grid_43,uncertainty_grid,0.3324764553293917,0.6947488957958449,0.0054450702250473,0.0163773107471708,0.6675235446706083,42791
0.43,runs\e3_iwildcam\policy_grid_43,uaat_monotone,0.3902222429950223,0.6955434553994998,0.0171531396789044,0.0439573601628937,0.6097777570049776,42791
0.44,runs\e3_iwildcam\policy_grid_44,fixed,0.3387861933584165,0.694281507793695,0.0066135402304222,0.0195212802648823,0.6612138066415836,42791
0.44,runs\e3_iwildcam\policy_grid_44,uncertainty_grid,0.3387861933584165,0.694281507793695,0.0066135402304222,0.0195212802648823,0.6612138066415836,42791
0.44,runs\e3_iwildcam\policy_grid_44,uaat_monotone,0.3932836344091047,0.6965717090042298,0.0179710686826669,0.045694931368471,0.6067163655908953,42791
0.45,runs\e3_iwildcam\policy_grid_45,uncertainty_grid,0.3433899651795938,0.69376738099133,0.0074314692341847,0.0216414863209473,0.6566100348204061,42791
0.45,runs\e3_iwildcam\policy_grid_45,fixed,0.3434367039798088,0.6938374891916524,0.0074548386342922,0.0217065868263473,0.6565632960201911,42791
0.45,runs\e3_iwildcam\policy_grid_45,uaat_monotone,0.3963917646234021,0.6981374588114323,0.0189058446869668,0.0476948473057422,0.6036082353765979,42791
0.46,runs\e3_iwildcam\policy_grid_46,fixed,0.3473393937977612,0.6925054333855251,0.0079689654366572,0.022942878288367,0.6526606062022389,42791
0.46,runs\e3_iwildcam\policy_grid_46,uncertainty_grid,0.3477366735995887,0.6929260825874599,0.0081325512374097,0.0233870967741935,0.6522633264004113,42791
0.46,runs\e3_iwildcam\policy_grid_46,uaat_monotone,0.399429786637377,0.6994227758173448,0.0197705124909443,0.049496840627194,0.600570213362623,42791
0.47,runs\e3_iwildcam\policy_grid_47,fixed,0.3520366432193685,0.692131522983805,0.0088336332406347,0.0250929368029739,0.6479633567806314,42791
0.47,runs\e3_iwildcam\policy_grid_47,uncertainty_grid,0.3520366432193685,0.692131522983805,0.0088336332406347,0.0250929368029739,0.6479633567806314,42791
0.47,runs\e3_iwildcam\policy_grid_47,uaat_monotone,0.4032857376551144,0.7009417868243322,0.0208455048958893,0.0516891696123312,0.5967142623448856,42791
