cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage_mean,coverage_std,risk_mean,risk_std,wrong_auto_rate_mean,wrong_auto_rate_std,auto_error_rate_mean,auto_error_rate_std,defer_rate_mean,defer_rate_std,n_mean,n_std
10:1,10,1,0.6,fixed,0.5997758771929824,0.0016817026627197389,0.9529258771929824,0.004304798732617725,0.05527017543859647,0.0005985270663243244,0.09214999890639926,0.0007400992325118546,0.4002241228070175,0.0016817026627196944,760000.0,0.0
10:1,10,1,0.6,uaat_monotone,0.5960679824561403,0.0007550870110623875,0.8648793859649123,0.0010364231832478879,0.046094736842105195,0.00017354958897617602,0.07733118912509894,0.00019955942277353377,0.40393201754385966,0.0007550870110624158,760000.0,0.0
10:1,10,1,0.6,uncertainty_grid,0.5996100877192982,0.0019080985976990105,0.9500258771929824,0.004827923549385212,0.054963596491228,0.0006731614611100925,0.09166380363985767,0.0008318740143333825,0.40038991228070175,0.0019080985976990148,760000.0,0.0
10:1,10,1,0.7,fixed,0.7005149122807017,0.0008468271535975988,1.2591078947368421,0.0019143733017632778,0.09596228070175433,0.00027610999019434885,0.13698802132991472,0.00022847585966631766,0.2994850877192982,0.0008468271535976039,760000.0,0.0
10:1,10,1,0.7,uaat_monotone,0.650905701754386,0.0010356728757829601,1.004839912280702,0.0025285093044840217,0.06557456140350877,0.00035273303070602684,0.10074317590614444,0.00038698546548971764,0.349094298245614,0.0010356728757829022,760000.0,0.0
10:1,10,1,0.7,uncertainty_grid,0.7004929824561404,0.0009300773406814674,1.257748245614035,0.002355803133240452,0.09582412280701746,0.0003271062511452707,0.13679501682873962,0.00028849689374017395,0.2995070175438596,0.0009300773406814354,760000.0,0.0
10:1,10,1,0.8,fixed,0.8002881578947368,0.0007060911773223907,1.670711842105263,0.0035089840670518174,0.14709999999999993,0.00040608256191493905,0.18380864466177585,0.0003865590347282882,0.19971184210526313,0.0007060911773223638,760000.0,0.0
10:1,10,1,0.8,uaat_monotone,0.7149030701754385,0.0011608308567279274,1.2200004385964913,0.0039635441233248385,0.09349035087719293,0.0005120591025155783,0.13077292088314477,0.0005042285121267967,0.28509692982456136,0.0011608308567278745,760000.0,0.0
10:1,10,1,0.8,uncertainty_grid,0.8002092105263158,0.0006032905498469386,1.6704706140350876,0.0022546605829732976,0.1470679824561403,0.00027398873914493994,0.18378683993486392,0.00023744840247990072,0.19979078947368414,0.0006032905498469202,760000.0,0.0
10:1,10,1,0.9,fixed,0.9002149122807017,0.0009092060832145532,2.1732456140350878,0.004092292755336856,0.2073460526315789,0.0004979650417704893,0.23032929366892138,0.0003283695885531193,0.09978508771929821,0.000909206083214632,760000.0,0.0
10:1,10,1,0.9,uaat_monotone,0.7899359649122807,0.0011966310144973483,1.5330684210526317,0.00430190058976381,0.1323004385964912,0.0005497675367041136,0.16748203939886921,0.0004421054625640492,0.2100640350877193,0.0011966310144973034,760000.0,0.0
10:1,10,1,0.9,uncertainty_grid,0.9002548245614035,0.0009022952163416056,2.1740302631578947,0.0032606824226681526,0.20742850877192978,0.00041301819070604196,0.2304107391563445,0.000240757527688487,0.0997451754385964,0.0009022952163416451,760000.0,0.0
20:1,20,1,0.6,fixed,0.5997758771929824,0.0016817026627197389,1.5056276315789472,0.010289868329354806,0.05527017543859647,0.0005985270663243244,0.09214999890639926,0.0007400992325118546,0.4002241228070175,0.0016817026627196944,760000.0,0.0
20:1,20,1,0.6,uaat_monotone,0.5726030701754387,0.00033903054852727345,1.2046513157894736,0.0005381192882817678,0.038862719298245564,2.504612550047314e-05,0.06787027207585723,5.233938810005624e-05,0.4273969298245614,0.0003390305485272948,760000.0,0.0
20:1,20,1,0.6,uncertainty_grid,0.5996100877192982,0.0019080985976990105,1.4996618421052632,0.011558811439056212,0.054963596491228,0.0006731614611100925,0.09166380363985767,0.0008318740143333825,0.40038991228070175,0.0019080985976990148,760000.0,0.0
20:1,20,1,0.7,fixed,0.7005149122807017,0.0008468271535975988,2.218730701754386,0.004675454992400727,0.09596228070175433,0.00027610999019434885,0.13698802132991472,0.00022847585966631766,0.2994850877192982,0.0008468271535976039,760000.0,0.0
20:1,20,1,0.7,uaat_monotone,0.6132087719298246,0.0011556237697980091,1.4213964912280703,0.0037297387390893204,0.051730263157894696,0.00024425887112216433,0.08435965246847187,0.00023925419044052755,0.38679122807017546,0.00115562376979809,760000.0,0.0
20:1,20,1,0.7,uncertainty_grid,0.7004929824561404,0.0009300773406814674,2.2159894736842105,0.005624435336385846,0.09582412280701746,0.0003271062511452707,0.13679501682873962,0.00028849689374017395,0.2995070175438596,0.0009300773406814354,760000.0,0.0
20:1,20,1,0.8,fixed,0.8002881578947368,0.0007060911773223907,3.1417118421052628,0.007556982402602132,0.14709999999999993,0.00040608256191493905,0.18380864466177585,0.0003865590347282882,0.19971184210526313,0.0007060911773223638,760000.0,0.0
20:1,20,1,0.8,uaat_monotone,0.6558254385964912,0.001242407922908873,1.69135,0.006393721085669282,0.06735877192982449,0.0003815388666184838,0.1027078987124199,0.0003885028732042614,0.3441745614035087,0.001242407922908895,760000.0,0.0
20:1,20,1,0.8,uncertainty_grid,0.8002092105263158,0.0006032905498469386,3.1411504385964917,0.0049816658897335496,0.1470679824561403,0.00027398873914493994,0.18378683993486392,0.00023744840247990072,0.19979078947368414,0.0006032905498469202,760000.0,0.0
20:1,20,1,0.9,fixed,0.9002149122807017,0.0009092060832145532,4.246706140350877,0.00906977953723825,0.2073460526315789,0.0004979650417704893,0.23032929366892138,0.0003283695885531193,0.09978508771929821,0.000909206083214632,760000.0,0.0
20:1,20,1,0.9,uaat_monotone,0.7059894736842106,0.0022188084977267466,2.076063157894737,0.01701055913925,0.08910263157894734,0.000961166873650367,0.1262075619849121,0.0009653301925914216,0.29401052631578944,0.0022188084977267587,760000.0,0.0
20:1,20,1,0.9,uncertainty_grid,0.9002548245614035,0.0009022952163416056,4.248315350877193,0.0073869322615265545,0.20742850877192978,0.00041301819070604196,0.2304107391563445,0.000240757527688487,0.0997451754385964,0.0009022952163416451,760000.0,0.0
