seed,target_coverage,cost_ratio,c_wrong,c_defer,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
1,0.6,5:1,5,1,uaat_monotone,0.6149368421052631,0.6473065789473684,0.0524486842105263,0.0852911723925435,0.3850631578947369,760000
1,0.6,5:1,5,1,uncertainty_grid,0.6013907894736842,0.6766947368421052,0.0556171052631578,0.0924808065514804,0.3986092105263158,760000
1,0.6,5:1,5,1,fixed,0.6013118421052631,0.6778394736842106,0.0558302631578947,0.0928474366352514,0.3986881578947369,760000
1,0.7,5:1,5,1,uaat_monotone,0.6842276315789474,0.7136868421052631,0.0795828947368421,0.1163105537746171,0.3157723684210526,760000
1,0.7,5:1,5,1,uncertainty_grid,0.7015447368421053,0.7794618421052631,0.0962013157894736,0.1371278419427804,0.2984552631578947,760000
1,0.7,5:1,5,1,fixed,0.701446052631579,0.7798894736842105,0.0962671052631578,0.1372409252315236,0.298553947368421,760000
1,0.8,5:1,5,1,uaat_monotone,0.7635657894736843,0.8281513157894737,0.1183434210526315,0.1549878513208457,0.2364342105263157,760000
1,0.8,5:1,5,1,uncertainty_grid,0.8007578947368421,0.9361565789473684,0.1473828947368421,0.1840542512356714,0.1992421052631579,760000
1,0.8,5:1,5,1,fixed,0.8009736842105263,0.9368684210526316,0.1475684210526315,0.1842362913559155,0.1990263157894737,760000
1,0.9,5:1,5,1,uaat_monotone,0.8504894736842106,0.9902210526315788,0.1681421052631579,0.1977003954379212,0.1495105263157894,760000
1,0.9,5:1,5,1,fixed,0.9004947368421052,1.1364394736842105,0.2073868421052631,0.2303032251277075,0.0995052631578947,760000
1,0.9,5:1,5,1,uncertainty_grid,0.9005776315789473,1.1367447368421053,0.2074644736842105,0.2303682285784416,0.0994223684210526,760000
2,0.6,5:1,5,1,uaat_monotone,0.613096052631579,0.647153947368421,0.05205,0.0848969745875657,0.386903947368421,760000
2,0.6,5:1,5,1,uncertainty_grid,0.597596052631579,0.6737657894736842,0.0542723684210526,0.0908178161185275,0.402403947368421,760000
2,0.6,5:1,5,1,fixed,0.597978947368421,0.6752184210526315,0.0546394736842105,0.0913735741444866,0.4020210526315789,760000
2,0.7,5:1,5,1,uaat_monotone,0.6813947368421053,0.7114342105263158,0.0785657894736842,0.115301432819681,0.3186052631578947,760000
2,0.7,5:1,5,1,uncertainty_grid,0.6997789473684211,0.7783131578947369,0.0956184210526315,0.1366408941169392,0.3002210526315789,760000
2,0.7,5:1,5,1,fixed,0.6997907894736842,0.7788539473684211,0.095728947368421,0.1367965237730825,0.3002092105263158,760000
2,0.8,5:1,5,1,uaat_monotone,0.7630381578947368,0.8268697368421053,0.1179815789473684,0.1546208111962394,0.2369618421052631,760000
2,0.8,5:1,5,1,fixed,0.7995631578947369,0.934857894736842,0.1468842105263157,0.1837055760711441,0.2004368421052631,760000
2,0.8,5:1,5,1,uncertainty_grid,0.7995631578947369,0.934857894736842,0.1468842105263157,0.1837055760711441,0.2004368421052631,760000
2,0.9,5:1,5,1,uaat_monotone,0.8486552631578947,0.986167105263158,0.1669644736842105,0.1967400438464567,0.1513447368421052,760000
2,0.9,5:1,5,1,fixed,0.8991986842105263,1.1349460526315789,0.206828947368421,0.2300147353418467,0.1008013157894737,760000
2,0.9,5:1,5,1,uncertainty_grid,0.8992355263157895,1.135757894736842,0.2069986842105263,0.230194068353382,0.1007644736842104,760000
3,0.6,5:1,5,1,uaat_monotone,0.6142171052631579,0.6476973684210527,0.0523828947368421,0.0852840050984886,0.3857828947368421,760000
3,0.6,5:1,5,1,uncertainty_grid,0.5998434210526316,0.6751631578947368,0.0550013157894736,0.0916927882495651,0.4001565789473684,760000
3,0.6,5:1,5,1,fixed,0.6000368421052632,0.6766671052631579,0.0553407894736842,0.0922289859394598,0.3999631578947368,760000
3,0.7,5:1,5,1,uaat_monotone,0.6821078947368421,0.7116289473684211,0.0787473684210526,0.1154470854664912,0.3178921052631579,760000
3,0.7,5:1,5,1,uncertainty_grid,0.7001552631578948,0.778107894736842,0.0956526315789473,0.1366163144264993,0.2998447368421052,760000
3,0.7,5:1,5,1,fixed,0.7003078947368421,0.779146052631579,0.0958907894736842,0.1369266149851381,0.2996921052631579,760000
3,0.8,5:1,5,1,uaat_monotone,0.7645907894736842,0.8280276315789473,0.1185236842105263,0.1550158409469117,0.2354092105263158,760000
3,0.8,5:1,5,1,fixed,0.8003276315789474,0.9339092105263158,0.1468473684210526,0.183484066558268,0.1996723684210526,760000
3,0.8,5:1,5,1,uncertainty_grid,0.8003065789473685,0.9343776315789474,0.1469368421052631,0.1836006924977763,0.1996934210526315,760000
3,0.9,5:1,5,1,uaat_monotone,0.8489907894736842,0.9862065789473684,0.1670394736842105,0.1967506311673457,0.1510092105263157,760000
3,0.9,5:1,5,1,fixed,0.9009513157894736,1.1381605263157897,0.2078223684210526,0.2306699205372099,0.0990486842105262,760000
3,0.9,5:1,5,1,uncertainty_grid,0.9009513157894736,1.1381605263157897,0.2078223684210526,0.2306699205372099,0.0990486842105262,760000
