target_coverage,cost_ratio,policy,c_wrong_mean,c_wrong_std,c_defer_mean,c_defer_std,coverage_mean,coverage_std,risk_mean,risk_std,wrong_auto_rate_mean,wrong_auto_rate_std,auto_error_rate_mean,auto_error_rate_std,defer_rate_mean,defer_rate_std,n_mean,n_std
0.6,5:1,fixed,5.0,0.0,1.0,0.0,0.5997758771929824,0.0016817026627197389,0.676575,0.0013129515448038964,0.05527017543859647,0.0005985270663243244,0.09214999890639926,0.0007400992325118546,0.4002241228070175,0.0016817026627196944,760000.0,0.0
0.6,5:1,uaat_monotone,5.0,0.0,1.0,0.0,0.6140833333333333,0.00092765708562668,0.6473859649122807,0.0002802734533979817,0.0522938596491228,0.00021373513998552626,0.08515738402619927,0.00022554966043668287,0.3859166666666667,0.0009276570856266407,760000.0,0.0
0.6,5:1,uncertainty_grid,5.0,0.0,1.0,0.0,0.5996100877192982,0.0019080985976990105,0.675207894736842,0.0014649860786117954,0.054963596491228,0.0006731614611100925,0.09166380363985767,0.0008318740143333825,0.40038991228070175,0.0019080985976990148,760000.0,0.0
0.7,5:1,fixed,5.0,0.0,1.0,0.0,0.7005149122807017,0.0008468271535975988,0.7792964912280702,0.0005339030962251565,0.09596228070175433,0.00027610999019434885,0.13698802132991472,0.00022847585966631766,0.2994850877192982,0.0008468271535976039,760000.0,0.0
0.7,5:1,uaat_monotone,5.0,0.0,1.0,0.0,0.6825767543859649,0.0014734975994003593,0.71225,0.001248145438645267,0.07896535087719296,0.0005424601759342501,0.11568635735359643,0.0005454535290856265,0.31742324561403507,0.001473497599400366,760000.0,0.0
0.7,5:1,uncertainty_grid,5.0,0.0,1.0,0.0,0.7004929824561404,0.0009300773406814674,0.7786276315789474,0.0007297010639016687,0.09582412280701746,0.0003271062511452707,0.13679501682873962,0.00028849689374017395,0.2995070175438596,0.0009300773406814354,760000.0,0.0
0.8,5:1,fixed,5.0,0.0,1.0,0.0,0.8002881578947368,0.0007060911773223907,0.9352118421052631,0.0015110230936268153,0.14709999999999993,0.00040608256191493905,0.18380864466177585,0.0003865590347282882,0.19971184210526313,0.0007060911773223638,760000.0,0.0
0.8,5:1,uaat_monotone,5.0,0.0,1.0,0.0,0.7637315789473685,0.0007894813596117969,0.8276828947368421,0.0007069255740974158,0.11828289473684206,0.0002760744560135121,0.15487483448799894,0.0002204353178578376,0.23626842105263154,0.0007894813596117763,760000.0,0.0
0.8,5:1,uncertainty_grid,5.0,0.0,1.0,0.0,0.8002092105263158,0.0006032905498469386,0.9351307017543858,0.0009203158080348279,0.1470679824561403,0.00027398873914493994,0.18378683993486392,0.00023744840247990072,0.19979078947368414,0.0006032905498469202,760000.0,0.0
0.9,5:1,fixed,5.0,0.0,1.0,0.0,0.9002149122807017,0.0009092060832145532,1.136515350877193,0.0016085795839597436,0.2073460526315789,0.0004979650417704893,0.23032929366892138,0.0003283695885531193,0.09978508771929821,0.000909206083214632,760000.0,0.0
0.9,5:1,uaat_monotone,5.0,0.0,1.0,0.0,0.8493785087719298,0.0009766405451270262,0.9875315789473684,0.0023292361551550816,0.16738201754385962,0.0006593225733819772,0.19706369015057454,0.0005514283634727987,0.1506214912280701,0.0009766405451270086,760000.0,0.0
0.9,5:1,uncertainty_grid,5.0,0.0,1.0,0.0,0.9002548245614035,0.0009022952163416056,1.1368877192982456,0.001207680675142173,0.20742850877192978,0.00041301819070604196,0.2304107391563445,0.000240757527688487,0.0997451754385964,0.0009022952163416451,760000.0,0.0
