cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage_mean,coverage_std,risk_mean,risk_std,wrong_auto_rate_mean,wrong_auto_rate_std,auto_error_rate_mean,auto_error_rate_std,defer_rate_mean,defer_rate_std,n_mean,n_std
10:1,10,1,0.6,fixed,0.6169082125603865,0.011257178935005916,4.057004830917874,0.07669300845144611,0.3673913043478261,0.008785764965929074,0.5954964481166883,0.0036833819546106435,0.38309178743961353,0.011257178935005885,1380.0,0.0
10:1,10,1,0.6,uaat_monotone,0.44951690821256035,0.030797811870180603,2.7968599033816424,0.1811251175253106,0.22463768115942026,0.02116388676305831,0.4991487335945422,0.014275725434937143,0.5504830917874396,0.030797811870180644,1380.0,0.0
10:1,10,1,0.6,uncertainty_grid,0.6169082125603865,0.011257178935005916,4.057004830917874,0.07669300845144611,0.3673913043478261,0.008785764965929074,0.5954964481166883,0.0036833819546106435,0.38309178743961353,0.011257178935005885,1380.0,0.0
10:1,10,1,0.7,fixed,0.7094202898550724,0.013882060913527608,4.807487922705314,0.10260811566745599,0.4516908212560386,0.011646921208928653,0.6366522325500868,0.004061848501506699,0.2905797101449275,0.01388206091352757,1380.0,0.0
10:1,10,1,0.7,uaat_monotone,0.4956521739130435,0.03384143312705975,3.088888888888889,0.22034745305996484,0.2584541062801932,0.02541746936798245,0.5207317434839508,0.01574190265084936,0.5043478260869565,0.033841433127059735,1380.0,0.0
10:1,10,1,0.7,uncertainty_grid,0.7094202898550724,0.013882060913527608,4.807487922705314,0.10260811566745599,0.4516908212560386,0.011646921208928653,0.6366522325500868,0.004061848501506699,0.2905797101449275,0.01388206091352757,1380.0,0.0
10:1,10,1,0.8,fixed,0.8181159420289855,0.018882339450428057,5.6601449275362326,0.16343592061425086,0.5478260869565217,0.018231515399143666,0.6695126561811641,0.006931391589944605,0.18188405797101445,0.01888233945042805,1380.0,0.0
10:1,10,1,0.8,uaat_monotone,0.5647342995169082,0.027424768046447636,3.5705314009661837,0.200663587918556,0.3135265700483092,0.02280403044470121,0.5547542290150633,0.0132031139539638,0.43526570048309177,0.027424768046447646,1380.0,0.0
10:1,10,1,0.8,uncertainty_grid,0.8181159420289855,0.018882339450428057,5.6601449275362326,0.16343592061425086,0.5478260869565217,0.018231515399143666,0.6695126561811641,0.006931391589944605,0.18188405797101445,0.01888233945042805,1380.0,0.0
10:1,10,1,0.9,fixed,0.9214975845410628,0.009457377753841457,6.583333333333333,0.08511639978457268,0.6504830917874397,0.009457377753841529,0.7058770857252625,0.0030234521352680782,0.07850241545893717,0.009457377753841489,1380.0,0.0
