cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage_mean,coverage_std,risk_mean,risk_std,wrong_auto_rate_mean,wrong_auto_rate_std,auto_error_rate_mean,auto_error_rate_std,defer_rate_mean,defer_rate_std,n_mean,n_std
10:1,10,1,0.6,fixed,0.6081871345029239,0.04376772542864514,3.4832535885167464,0.24573698739080752,0.30914407230196705,0.02894345048126782,0.5077693191231488,0.01133420745451041,0.39181286549707606,0.043767725428645106,1254.0,0.0
10:1,10,1,0.6,uaat_monotone,0.49548112706007447,0.04426615542406402,2.8782562466772994,0.1899221766925073,0.23737373737373738,0.023417474204398776,0.47880161554538775,0.00479331973613507,0.5045188729399256,0.044266155424063994,1254.0,0.0
10:1,10,1,0.6,uncertainty_grid,0.6081871345029239,0.04376772542864514,3.4832535885167464,0.24573698739080752,0.30914407230196705,0.02894345048126782,0.5077693191231488,0.01133420745451041,0.39181286549707606,0.043767725428645106,1254.0,0.0
10:1,10,1,0.7,fixed,0.709197235513025,0.02596711317048593,4.052099946836789,0.16549755420127785,0.37612971823498137,0.01914429301438684,0.5301753397248578,0.007650478897726742,0.290802764486975,0.025967113170485882,1254.0,0.0
10:1,10,1,0.7,uaat_monotone,0.5685805422647529,0.03158740401967842,3.2597022860180758,0.13384861221828742,0.2828282828282828,0.01654264527645037,0.4973749367805729,0.0016097208908757603,0.4314194577352472,0.031587404019678376,1254.0,0.0
10:1,10,1,0.7,uncertainty_grid,0.709197235513025,0.02596711317048593,4.052099946836789,0.16549755420127785,0.37612971823498137,0.01914429301438684,0.5301753397248578,0.007650478897726742,0.290802764486975,0.025967113170485882,1254.0,0.0
10:1,10,1,0.8,fixed,0.8040935672514621,0.020320589955998367,4.6270600744284955,0.15734065244945417,0.4431153641679957,0.01776598066082603,0.5509347362024052,0.008293095338744283,0.19590643274853795,0.020320589955998336,1254.0,0.0
10:1,10,1,0.8,uaat_monotone,0.6485911749069643,0.04283516656774846,3.7006911217437537,0.21038933568240947,0.33492822966507174,0.02531819436425444,0.5161704899729914,0.005267895841303323,0.3514088250930356,0.04283516656774842,1254.0,0.0
10:1,10,1,0.8,uncertainty_grid,0.8040935672514621,0.020320589955998367,4.6270600744284955,0.15734065244945417,0.4431153641679957,0.01776598066082603,0.5509347362024052,0.008293095338744283,0.19590643274853795,0.020320589955998336,1254.0,0.0
10:1,10,1,0.9,fixed,0.9082934609250399,0.01568765197201436,5.506379585326954,0.14118886774813036,0.5414673046251993,0.01568765197201435,0.5960563113939643,0.007004653968538038,0.09170653907496003,0.01568765197201434,1254.0,0.0
10:1,10,1,0.9,uaat_monotone,0.7240829346092504,0.03660452126803353,4.162147793726741,0.17922252051941262,0.3886230728335991,0.02158026953194558,0.5366185235318854,0.002922717573067504,0.2759170653907495,0.036604521268033506,1254.0,0.0
10:1,10,1,0.9,uncertainty_grid,0.9082934609250399,0.01568765197201436,5.506379585326954,0.14118886774813036,0.5414673046251993,0.01568765197201435,0.5960563113939643,0.007004653968538038,0.09170653907496003,0.01568765197201434,1254.0,0.0
20:1,20,1,0.6,fixed,0.6081871345029239,0.04376772542864514,6.574694311536416,0.5351657549833915,0.30914407230196705,0.02894345048126782,0.5077693191231488,0.01133420745451041,0.39181286549707606,0.043767725428645106,1254.0,0.0
20:1,20,1,0.6,uaat_monotone,0.36018075491759705,0.05641253012474842,3.7232854864433818,0.5559826684242464,0.15417331206804888,0.03061965589926785,0.4259438466641811,0.02012992442131408,0.639819245082403,0.056412530124748464,1254.0,0.0
20:1,20,1,0.6,uncertainty_grid,0.6081871345029239,0.04376772542864514,6.574694311536416,0.5351657549833915,0.30914407230196705,0.02894345048126782,0.5077693191231488,0.01133420745451041,0.39181286549707606,0.043767725428645106,1254.0,0.0
20:1,20,1,0.7,fixed,0.709197235513025,0.02596711317048593,7.813397129186602,0.3569389036389015,0.37612971823498137,0.01914429301438684,0.5301753397248578,0.007650478897726742,0.290802764486975,0.025967113170485882,1254.0,0.0
20:1,20,1,0.7,uaat_monotone,0.45933014354066987,0.094075227475478,4.7937267410951625,1.0392956680549952,0.21265284423179157,0.05666559905314523,0.4584685552047687,0.03345620584210464,0.5406698564593301,0.094075227475478,1254.0,0.0
20:1,20,1,0.7,uncertainty_grid,0.709197235513025,0.02596711317048593,7.813397129186602,0.3569389036389015,0.37612971823498137,0.01914429301438684,0.5301753397248578,0.007650478897726742,0.290802764486975,0.025967113170485882,1254.0,0.0
20:1,20,1,0.8,fixed,0.8040935672514621,0.020320589955998367,9.058213716108453,0.3350003719676277,0.4431153641679957,0.01776598066082603,0.5509347362024052,0.008293095338744283,0.19590643274853795,0.020320589955998336,1254.0,0.0
20:1,20,1,0.8,uaat_monotone,0.5281765018607124,0.045742764932525194,5.665869218500798,0.470816665790878,0.25970228601807543,0.025795116520910485,0.49139332953067444,0.00969527244422256,0.47182349813928764,0.04574276493252524,1254.0,0.0
20:1,20,1,0.8,uncertainty_grid,0.8040935672514621,0.020320589955998367,9.058213716108453,0.3350003719676277,0.4431153641679957,0.01776598066082603,0.5509347362024052,0.008293095338744283,0.19590643274853795,0.020320589955998336,1254.0,0.0
20:1,20,1,0.9,fixed,0.9082934609250399,0.01568765197201436,10.921052631578947,0.29806538746827266,0.5414673046251993,0.01568765197201435,0.5960563113939643,0.007004653968538038,0.09170653907496003,0.01568765197201434,1254.0,0.0
