cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage_mean,coverage_std,risk_mean,risk_std,wrong_auto_rate_mean,wrong_auto_rate_std,auto_error_rate_mean,auto_error_rate_std,defer_rate_mean,defer_rate_std,n_mean,n_std
10:1,10,1,0.6,fixed,0.42260444174398043,0.017283094710645566,1.0778123125579366,0.11027039167775866,0.05004167543019167,0.012735193844853634,0.11771383859984778,0.025990773245540263,0.5773955582560196,0.01728309471064551,42791.0,0.0
10:1,10,1,0.6,uaat_monotone,0.41842131912473807,0.02362916012038355,1.0651694670997796,0.12362292127899015,0.0483590786224517,0.014704633674001091,0.11446983110129594,0.029629018549923954,0.5815786808752619,0.023629160120383606,42791.0,0.0
10:1,10,1,0.6,uncertainty_grid,0.42241748654312045,0.017148973646410392,1.077142389754855,0.10961942925541703,0.0499559876297975,0.01265474773847429,0.11757329520305619,0.025853512570095497,0.5775825134568796,0.017148973646410274,42791.0,0.0
10:1,10,1,0.7,fixed,0.5236069890085921,0.019330044656568218,1.5538781519478395,0.20531276471881035,0.10774851409564311,0.02245104159117816,0.20491245591005747,0.03572856919025127,0.4763930109914078,0.019330044656568218,42791.0,0.0
10:1,10,1,0.7,uaat_monotone,0.46459925373715655,0.023689729678898236,1.2564246375795534,0.16994667749777484,0.07210238913167093,0.019347906332070505,0.15403164165958075,0.034564188914499465,0.5354007462628435,0.02368972967889824,42791.0,0.0
10:1,10,1,0.7,uncertainty_grid,0.5230694928061196,0.019293620667930552,1.5501312581306037,0.2042141875713293,0.10732007509367227,0.022333669162007096,0.2043134852510395,0.035518661237613845,0.4769305071938803,0.019293620667930503,42791.0,0.0
10:1,10,1,0.8,fixed,0.6532136820047829,0.03043223843472086,2.317216237059195,0.2825358047139773,0.19704299190639774,0.030889329125596044,0.30081976618378714,0.03468066187236522,0.34678631799521703,0.03043223843472089,42791.0,0.0
10:1,10,1,0.8,uaat_monotone,0.5481993877217172,0.03556491025810454,1.7046341520413169,0.22659991768379856,0.12528335397630339,0.025662612771661267,0.22739118109168402,0.03474676875994607,0.4518006122782828,0.03556491025810454,42791.0,0.0
10:1,10,1,0.8,uncertainty_grid,0.6462028619725332,0.03461356338786494,2.270243742843121,0.31598673097983726,0.19164466048156537,0.03474043751337001,0.29541396862688213,0.038579159299683065,0.35379713802746676,0.03461356338786491,42791.0,0.0
10:1,10,1,0.9,fixed,0.803245230694928,0.04122171624744925,3.2630537574100473,0.3228663056726298,0.3066298988104975,0.034620352472388836,0.38150615907293384,0.03397438748607188,0.19675476930507188,0.04122171624744924,42791.0,0.0
10:1,10,1,0.9,uaat_monotone,0.6286602322918371,0.037217360003766534,2.169459309979513,0.17312271212137934,0.17981195422713495,0.019791582524902204,0.28576901683490963,0.02302310493708682,0.3713397677081629,0.03721736000376654,42791.0,0.0
10:1,10,1,0.9,uncertainty_grid,0.7960786146619617,0.049421861285033175,3.2105505051685324,0.3738036966628714,0.30066291198304934,0.040871566447777806,0.3770675502489586,0.03658865835962906,0.20392138533803836,0.04942186128503318,42791.0,0.0
20:1,20,1,0.6,fixed,0.42260444174398043,0.017283094710645566,1.5782290668598538,0.2376077558750029,0.05004167543019167,0.012735193844853634,0.11771383859984778,0.025990773245540263,0.5773955582560196,0.01728309471064551,42791.0,0.0
20:1,20,1,0.6,uaat_monotone,0.40330131725518603,0.022298930880212984,1.4362833306069032,0.22978054843726956,0.041979232393104395,0.012590237649058592,0.10313281539020402,0.02630205762384588,0.596698682744814,0.02229893088021296,42791.0,0.0
20:1,20,1,0.6,uncertainty_grid,0.42241748654312045,0.017148973646410392,1.5767022660528305,0.23615096719752274,0.0499559876297975,0.01265474773847429,0.11757329520305619,0.025853512570095497,0.5775825134568796,0.017148973646410274,42791.0,0.0
20:1,20,1,0.7,fixed,0.5236069890085921,0.019330044656568218,2.6313632929042714,0.42981724696933754,0.10774851409564311,0.02245104159117816,0.20491245591005747,0.03572856919025127,0.4763930109914078,0.019330044656568218,42791.0,0.0
20:1,20,1,0.7,uaat_monotone,0.4314614443847226,0.026627422371294025,1.671418444688525,0.3132138234410266,0.05514399445366233,0.01698941458266968,0.1264636508513098,0.03274191560909707,0.5685385556152774,0.02662742237129404,42791.0,0.0
20:1,20,1,0.7,uncertainty_grid,0.5230694928061196,0.019293620667930552,2.6233320090673273,0.4275431915724485,0.10732007509367227,0.022333669162007096,0.2043134852510395,0.035518661237613845,0.4769305071938803,0.019293620667930503,42791.0,0.0
20:1,20,1,0.8,fixed,0.6532136820047829,0.03043223843472086,4.287646156123173,0.5912334323433354,0.19704299190639774,0.030889329125596044,0.30081976618378714,0.03468066187236522,0.34678631799521703,0.03043223843472089,42791.0,0.0
20:1,20,1,0.8,uaat_monotone,0.4762294251906553,0.016270311629048816,2.0860928699960275,0.3059648854242005,0.0781161147593341,0.016065036269025185,0.1634360492584416,0.02852407065699445,0.5237705748093446,0.01627031162904888,42791.0,0.0
20:1,20,1,0.8,uncertainty_grid,0.6462028619725332,0.03461356338786494,4.186690347658776,0.6632320327489584,0.19164466048156537,0.03474043751337001,0.29541396862688213,0.038579159299683065,0.35379713802746676,0.03461356338786491,42791.0,0.0
20:1,20,1,0.9,fixed,0.803245230694928,0.04122171624744925,6.329352745515023,0.6682064305657995,0.3066298988104975,0.034620352472388836,0.38150615907293384,0.03397438748607188,0.19675476930507188,0.04122171624744924,42791.0,0.0
20:1,20,1,0.9,uaat_monotone,0.53966955668248,0.04430254603219365,2.8578750983462258,0.5259990174203241,0.1198772327514352,0.02827450510632006,0.22045619686386334,0.037714581202659185,0.4603304433175201,0.04430254603219372,42791.0,0.0
20:1,20,1,0.9,uncertainty_grid,0.7960786146619617,0.049421861285033175,6.2171796249990265,0.7817370885942418,0.30066291198304934,0.040871566447777806,0.3770675502489586,0.03658865835962906,0.20392138533803836,0.04942186128503318,42791.0,0.0
2:1,2,1,0.6,fixed,0.42260444174398043,0.017283094710645566,0.677478909116403,0.008712838235558757,0.05004167543019167,0.012735193844853634,0.11771383859984778,0.025990773245540263,0.5773955582560196,0.01728309471064551,42791.0,0.0
2:1,2,1,0.6,uaat_monotone,0.4389863912193374,0.02211360690458688,0.6772374253152922,0.0104238090825065,0.05811190826731477,0.016184762011691226,0.13133419157915624,0.031178912706329,0.5610136087806626,0.022113606904586896,42791.0,0.0
2:1,2,1,0.6,uncertainty_grid,0.42241748654312045,0.017148973646410392,0.6774944887164747,0.008733352538754858,0.0499559876297975,0.01265474773847429,0.11757329520305619,0.025853512570095497,0.5775825134568796,0.017148973646410274,42791.0,0.0
2:1,2,1,0.7,fixed,0.5236069890085921,0.019330044656568218,0.6918900391826942,0.025783686237139884,0.10774851409564311,0.02245104159117816,0.20491245591005747,0.03572856919025127,0.4763930109914078,0.019330044656568218,42791.0,0.0
