seed,uaat_target,baseline,baseline_target,cost_ratio,c_wrong,c_defer,uaat_coverage,baseline_coverage,coverage_gap,uaat_risk,baseline_risk,risk_delta_baseline_minus_uaat,risk_reduction_pct,uaat_wrong_auto_rate,baseline_wrong_auto_rate,wrong_auto_delta,uaat_auto_error_rate,baseline_auto_error_rate,uaat_defer_rate,baseline_defer_rate,n
1,0.6,fixed,0.61,5:1,5,1,0.4436446916407656,0.4435278446402281,0.0001168470005374,0.8652987777803745,0.8671683297889743,0.0018695520085998,0.215592745304109,0.0617886938842279,0.0621392348858404,0.0003505410016125,0.1392751790981879,0.1401022182412139,0.5563553083592344,0.5564721553597719,42791
1,0.6,uncertainty_grid,0.61,5:1,5,1,0.4436446916407656,0.4433408894393681,0.0003038022013974,0.8652987777803745,0.8671215909887593,0.0018228132083848,0.2102142568386897,0.0617886938842279,0.0620924960856254,0.0003038022013975,0.1392751790981879,0.1400558747562068,0.5563553083592344,0.5566591105606319,42791
1,0.7,fixed,0.68,5:1,5,1,0.5209740365964806,0.5206702343950831,0.0003038022013974,1.042228505994251,1.0418312261924236,-0.0003972798018274,-0.0381328368587494,0.1126405085181463,0.1125002921175013,-0.000140216400645,0.2162113667967523,0.2160682226211849,0.4790259634035194,0.4793297656049169,42791
1,0.7,uncertainty_grid,0.68,5:1,5,1,0.5209740365964806,0.5206702343950831,0.0003038022013974,1.042228505994251,1.0418312261924236,-0.0003972798018274,-0.0381328368587494,0.1126405085181463,0.1125002921175013,-0.000140216400645,0.2162113667967523,0.2160682226211849,0.4790259634035194,0.4793297656049169,42791
1,0.8,fixed,0.75,5:1,5,1,0.6160407562337875,0.6113902456123951,0.0046505106213924,1.3145287560468322,1.2762964174709637,-0.0382323385758684,-2.995568901746784,0.1861139024561239,0.1775373326166717,-0.0085765698394521,0.3021129699176814,0.2903829982417246,0.3839592437662125,0.3886097543876049,42791
1,0.8,uncertainty_grid,0.76,5:1,5,1,0.6160407562337875,0.6183543268444299,0.0023135706106424,1.3145287560468322,1.2923511953448157,-0.0221775607020164,-1.7160630006690425,0.1861139024561239,0.1821411044378491,-0.0039727980182747,0.3021129699176814,0.2945578231292517,0.3839592437662125,0.3816456731555701,42791
1,0.9,fixed,0.84,5:1,5,1,0.7394779276015985,0.7369306629898811,0.0025472646117173,1.6767077189128554,1.6334509593138744,-0.043256759598981,-2.6481823254216867,0.2832371293028908,0.2740763244607511,-0.0091608048421397,0.3830231014758398,0.3719160271453035,0.2605220723984015,0.2630693370101189,42791
1,0.9,uncertainty_grid,0.85,5:1,5,1,0.7394779276015985,0.7425626884157883,0.0030847608141898,1.6767077189128554,1.6479166179804166,-0.0287911009324388,-1.7471212207158535,0.2832371293028908,0.2780958612792409,-0.0051412680236498,0.3830231014758398,0.3745082612116444,0.2605220723984015,0.2574373115842117,42791
2,0.6,fixed,0.62,5:1,5,1,0.443995232642378,0.4463088032530204,0.0023135706106424,0.8763992428314366,0.8820312682573439,0.0056320254259073,0.6385289987547397,0.0640788950947629,0.0656680143020728,0.0015891192073098,0.144323385441339,0.1471358257409152,0.5560047673576219,0.5536911967469795,42791
2,0.6,uncertainty_grid,0.62,5:1,5,1,0.443995232642378,0.4463088032530204,0.0023135706106424,0.8763992428314366,0.8819144212568064,0.0055151784253698,0.6253643542318132,0.0640788950947629,0.0656446449019653,0.0015657498072023,0.144323385441339,0.1470834642370929,0.5560047673576219,0.5536911967469795,42791
