policy,corruption,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
fixed,brightness,0.8265,0.251,0.0155,0.018753781004234724,0.1735,40000
fixed,contrast,0.6343,0.603325,0.047525,0.07492511429922749,0.3657,40000
fixed,defocus_blur,0.664725,0.5136499999999999,0.035675,0.05366881041032006,0.335275,40000
fixed,elastic_transform,0.6745,0.479125,0.030725,0.0455522609340252,0.3255,40000
fixed,fog,0.7554,0.41735,0.03455,0.045737357691289386,0.24460000000000004,40000
fixed,frost,0.571525,0.6672250000000001,0.04775,0.08354840120729627,0.42847500000000005,40000
fixed,gaussian_blur,0.54665,0.733225,0.055975,0.10239641452483307,0.45335000000000003,40000
fixed,gaussian_noise,0.394,1.3013750000000002,0.139075,0.35298223350253805,0.606,40000
fixed,glass_blur,0.330225,1.063025,0.07865,0.238170944053297,0.669775,40000
fixed,impulse_noise,0.4188,0.9346999999999999,0.0707,0.16881566380133714,0.5811999999999999,40000
fixed,jpeg_compression,0.62585,0.55565,0.0363,0.05800111847886874,0.37415,40000
fixed,motion_blur,0.599,0.669125,0.053625,0.08952420701168615,0.401,40000
fixed,pixelate,0.607125,0.6916249999999999,0.05975,0.09841465925468396,0.392875,40000
fixed,saturate,0.7944,0.297475,0.018375,0.023130664652567978,0.2056,40000
fixed,shot_noise,0.452375,0.993375,0.08915,0.1970710140922907,0.547625,40000
fixed,snow,0.625575,0.5658000000000001,0.038275,0.06118371098589298,0.374425,40000
fixed,spatter,0.689075,0.46430000000000005,0.030675,0.04451619925262127,0.310925,40000
fixed,speckle_noise,0.458975,0.876775,0.06715,0.14630426493817747,0.541025,40000
fixed,zoom_blur,0.571375,0.6725000000000001,0.048775,0.08536425289870925,0.42862500000000003,40000
