seed,target_coverage,result_dir,cost_ratio,c_wrong,c_defer,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
2,0.4,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_40,5:1,5,1,uaat_monotone,0.5050276315789474,0.61215,0.0234355263157894,0.0464044437380966,0.4949723684210526,760000
2,0.4,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_40,5:1,5,1,uncertainty_grid,0.3988526315789473,0.6612526315789474,0.0120210526315789,0.0301390831595893,0.6011473684210527,760000
2,0.4,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_40,5:1,5,1,fixed,0.3988828947368421,0.6612881578947368,0.0120342105263157,0.0301697833752816,0.6011171052631579,760000
2,0.41,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_41,5:1,5,1,uaat_monotone,0.5104881578947369,0.6117355263157894,0.0244447368421052,0.0478850223341435,0.4895118421052631,760000
2,0.41,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_41,5:1,5,1,fixed,0.4090671052631578,0.6567618421052632,0.0131657894736842,0.0321849136835739,0.5909328947368422,760000
2,0.41,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_41,5:1,5,1,uncertainty_grid,0.4090355263157895,0.6567802631578947,0.0131631578947368,0.0321809648499197,0.5909644736842106,760000
2,0.42,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_42,5:1,5,1,uaat_monotone,0.5158565789473685,0.6111171052631579,0.0253947368421052,0.0492282891766632,0.4841434210526315,760000
2,0.42,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_42,5:1,5,1,fixed,0.4190973684210526,0.6526526315789474,0.01435,0.0342402531756845,0.5809026315789474,760000
2,0.42,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_42,5:1,5,1,uncertainty_grid,0.4190960526315789,0.6526671052631579,0.0143526315789473,0.0342466398545742,0.580903947368421,760000
2,0.43,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_43,5:1,5,1,uaat_monotone,0.521246052631579,0.6109184210526315,0.0264328947368421,0.0507109734517742,0.478753947368421,760000
2,0.43,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_43,5:1,5,1,uncertainty_grid,0.4290855263157895,0.6488092105263157,0.015578947368421,0.0363073243280538,0.5709144736842104,760000
2,0.43,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_43,5:1,5,1,fixed,0.4290684210526316,0.6490565789473683,0.015625,0.0364161034309336,0.5709315789473683,760000
2,0.44,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_44,5:1,5,1,uaat_monotone,0.5263302631578948,0.6112618421052631,0.0275184210526315,0.0522835622020394,0.4736697368421052,760000
2,0.44,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_44,5:1,5,1,uncertainty_grid,0.4390447368421052,0.6461460526315789,0.0170381578947368,0.0388073388996445,0.5609552631578947,760000
2,0.44,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_44,5:1,5,1,fixed,0.4391855263157895,0.6462749999999999,0.0170921052631578,0.038917733483931,0.5608144736842104,760000
2,0.45,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_45,5:1,5,1,uaat_monotone,0.5312592105263158,0.6116881578947369,0.0285894736842105,0.0538145468685372,0.4687407894736842,760000
2,0.45,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_45,5:1,5,1,uncertainty_grid,0.4491276315789473,0.6433723684210526,0.0185,0.0411909637689438,0.5508723684210526,760000
2,0.45,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_45,5:1,5,1,fixed,0.4493907894736842,0.6434447368421053,0.0185671052631578,0.0413161677944117,0.5506092105263158,760000
2,0.46,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_46,5:1,5,1,uaat_monotone,0.5364302631578948,0.6122078947368421,0.0297276315789473,0.0554175139261247,0.4635697368421052,760000
2,0.46,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_46,5:1,5,1,uncertainty_grid,0.459428947368421,0.6413934210526316,0.0201644736842105,0.0438902985972288,0.540571052631579,760000
2,0.46,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_46,5:1,5,1,fixed,0.4595407894736842,0.6415513157894737,0.0202184210526315,0.0439970107458532,0.5404592105263157,760000
2,0.47,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_47,5:1,5,1,uaat_monotone,0.5416605263157894,0.6133592105263158,0.031003947368421,0.0572387055399818,0.4583394736842106,760000
2,0.47,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_47,5:1,5,1,uncertainty_grid,0.4691723684210526,0.6401105263157894,0.0218565789473684,0.0465853925305198,0.5308276315789473,760000
2,0.47,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_47,5:1,5,1,fixed,0.4692947368421052,0.6404684210526317,0.0219526315789473,0.0467779198349146,0.5307052631578948,760000
2,0.48,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_48,5:1,5,1,uaat_monotone,0.5468618421052631,0.6147236842105264,0.0323171052631579,0.0590955571863383,0.4531381578947369,760000
2,0.48,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_48,5:1,5,1,uncertainty_grid,0.4788223684210526,0.6395197368421053,0.0236684210526315,0.0494304832305134,0.5211776315789474,760000
2,0.48,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_48,5:1,5,1,fixed,0.4788671052631579,0.6396657894736842,0.0237065789473684,0.049505549006839,0.5211328947368421,760000
2,0.49,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_49,5:1,5,1,uaat_monotone,0.5519763157894737,0.6159315789473684,0.0335815789473684,0.0608388041058207,0.4480236842105263,760000
2,0.49,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_49,5:1,5,1,uncertainty_grid,0.4888578947368421,0.6386092105263158,0.0254934210526315,0.052148940064382,0.511142105263158,760000
2,0.49,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_49,5:1,5,1,fixed,0.4887342105263157,0.6393184210526317,0.0256105263157894,0.0524017467248908,0.5112657894736843,760000
2,0.5,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_50,5:1,5,1,uaat_monotone,0.5573881578947368,0.6176776315789474,0.0350131578947368,0.0628164725045147,0.4426118421052631,760000
2,0.5,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_50,5:1,5,1,uncertainty_grid,0.4986565789473684,0.6388828947368421,0.0275078947368421,0.0551640064489061,0.5013434210526315,760000
2,0.5,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_50,5:1,5,1,fixed,0.4985934210526316,0.6393276315789473,0.0275842105263157,0.0553240563585454,0.5014065789473684,760000
2,0.51,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_51,5:1,5,1,uaat_monotone,0.5625973684210527,0.6198171052631578,0.0364828947368421,0.0648472545103303,0.4374026315789473,760000
2,0.51,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_51,5:1,5,1,uncertainty_grid,0.5089657894736842,0.6394355263157895,0.0296802631578947,0.0583148489971924,0.4910342105263158,760000
2,0.51,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_51,5:1,5,1,fixed,0.5087934210526316,0.6399960526315789,0.0297578947368421,0.0584871845930646,0.4912065789473684,760000
2,0.52,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_52,5:1,5,1,uaat_monotone,0.5679776315789473,0.6218907894736843,0.0379736842105263,0.0668577107604775,0.4320223684210527,760000
2,0.52,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_52,5:1,5,1,uncertainty_grid,0.5191328947368421,0.6408144736842105,0.0319894736842105,0.0616209722183499,0.4808671052631579,760000
2,0.52,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_52,5:1,5,1,fixed,0.5191763157894737,0.641475,0.0321302631578947,0.0618869971158768,0.4808236842105263,760000
2,0.53,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_53,5:1,5,1,uaat_monotone,0.5732065789473684,0.6239052631578947,0.0394223684210526,0.0687751499528277,0.4267934210526316,760000
2,0.53,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_53,5:1,5,1,uncertainty_grid,0.5290013157894737,0.6429592105263158,0.0343921052631579,0.0650132697908919,0.4709986842105262,760000
2,0.53,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_53,5:1,5,1,fixed,0.5289657894736842,0.643678947368421,0.034528947368421,0.0652763336600217,0.4710342105263158,760000
2,0.54,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_54,5:1,5,1,uaat_monotone,0.5786315789473684,0.6264868421052632,0.0410236842105263,0.0708977624158632,0.4213684210526316,760000
2,0.54,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_54,5:1,5,1,uncertainty_grid,0.5386407894736842,0.6454381578947368,0.0368157894736842,0.0683494272865179,0.4613592105263158,760000
2,0.54,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_54,5:1,5,1,fixed,0.538921052631579,0.6462368421052631,0.0370315789473684,0.0687142926900727,0.461078947368421,760000
2,0.55,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_55,5:1,5,1,uaat_monotone,0.5841868421052632,0.6293394736842105,0.0427052631578947,0.0731020626962354,0.4158131578947368,760000
2,0.55,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_55,5:1,5,1,uncertainty_grid,0.5482973684210526,0.6484921052631579,0.0393578947368421,0.0717820237769554,0.4517026315789474,760000
2,0.55,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_55,5:1,5,1,fixed,0.5483881578947368,0.6496052631578948,0.0395986842105263,0.0722092256013436,0.4516118421052632,760000
2,0.56,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_56,5:1,5,1,uaat_monotone,0.5897578947368421,0.6324855263157894,0.0444486842105263,0.0753676798686347,0.4102421052631578,760000
2,0.56,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_56,5:1,5,1,uncertainty_grid,0.5583328947368421,0.6519368421052631,0.042053947368421,0.0753205619171735,0.4416671052631579,760000
2,0.56,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_56,5:1,5,1,fixed,0.5582078947368421,0.6528315789473684,0.0422078947368421,0.0756132171092641,0.4417921052631579,760000
2,0.57,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_57,5:1,5,1,uaat_monotone,0.5953828947368421,0.6354394736842105,0.0461644736842105,0.0775374537836111,0.4046171052631578,760000
2,0.57,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_57,5:1,5,1,uncertainty_grid,0.5679592105263158,0.6563631578947369,0.0448644736842105,0.0789924220836837,0.4320407894736842,760000
2,0.57,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_57,5:1,5,1,fixed,0.5679407894736842,0.6573486842105263,0.0450578947368421,0.079335549712141,0.4320592105263158,760000
2,0.58,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_58,5:1,5,1,uaat_monotone,0.6010223684210526,0.6388723684210527,0.047978947368421,0.0798288880569731,0.3989776315789474,760000
2,0.58,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_58,5:1,5,1,uncertainty_grid,0.5775973684210526,0.6614092105263158,0.0478013157894736,0.0827588877701185,0.4224026315789474,760000
2,0.58,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_58,5:1,5,1,fixed,0.577896052631579,0.6623671052631579,0.0480526315789473,0.0831509946470978,0.422103947368421,760000
2,0.59,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_59,5:1,5,1,uaat_monotone,0.6069407894736842,0.6429736842105263,0.0499828947368421,0.0823521760338193,0.3930592105263157,760000
2,0.59,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_59,5:1,5,1,uncertainty_grid,0.5878618421052632,0.6676118421052631,0.0510947368421052,0.0869162330031895,0.4121381578947368,760000
2,0.59,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_59,5:1,5,1,fixed,0.5877618421052632,0.6686131578947369,0.051275,0.0872377148818331,0.4122381578947368,760000
2,0.6,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_60,5:1,5,1,uaat_monotone,0.613096052631579,0.647153947368421,0.05205,0.0848969745875657,0.386903947368421,760000
2,0.6,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_60,5:1,5,1,uncertainty_grid,0.597596052631579,0.6737657894736842,0.0542723684210526,0.0908178161185275,0.402403947368421,760000
2,0.6,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_60,5:1,5,1,fixed,0.597978947368421,0.6752184210526315,0.0546394736842105,0.0913735741444866,0.4020210526315789,760000
2,0.61,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_61,5:1,5,1,uaat_monotone,0.6193565789473684,0.6520776315789474,0.0542868421052631,0.0876503842060202,0.3806434210526316,760000
2,0.61,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_61,5:1,5,1,uncertainty_grid,0.60815,0.6820868421052633,0.0580473684210526,0.0954490971323729,0.39185,760000
2,0.61,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_61,5:1,5,1,fixed,0.6078697368421052,0.6824789473684212,0.0580697368421052,0.095529902744918,0.3921302631578948,760000
2,0.62,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_62,5:1,5,1,uaat_monotone,0.6257921052631579,0.6567407894736843,0.0565065789473684,0.0902960879054335,0.3742078947368421,760000
2,0.62,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_62,5:1,5,1,uncertainty_grid,0.618675,0.6900815789473684,0.0617513157894736,0.0998122047754858,0.381325,760000
2,0.62,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_62,5:1,5,1,fixed,0.6186486842105263,0.6913381578947368,0.0619973684210526,0.100214176483975,0.3813513157894737,760000
2,0.63,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_63,5:1,5,1,uaat_monotone,0.6323131578947369,0.6620157894736842,0.0588657894736842,0.0930959426333554,0.3676868421052631,760000
2,0.63,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_63,5:1,5,1,uncertainty_grid,0.6290223684210526,0.6986223684210526,0.065528947368421,0.1041758618742116,0.3709776315789473,760000
2,0.63,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_63,5:1,5,1,fixed,0.6287052631578948,0.6998671052631579,0.0657144736842105,0.1045234985852294,0.3712947368421052,760000
2,0.64,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_64,5:1,5,1,uaat_monotone,0.6393973684210527,0.6675894736842105,0.0613973684210526,0.0960238053100987,0.3606026315789473,760000
2,0.64,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_64,5:1,5,1,uncertainty_grid,0.6391078947368422,0.7082736842105262,0.0694763157894736,0.1087082734568333,0.3608921052631578,760000
2,0.64,runs_seed3\e1_cifar10c_all\seed_02\policy_grid_64,5:1,5,1,fixed,0.6387513157894736,0.7093078947368421,0.0696118421052631,0.1089811330082747,0.3612486842105263,760000
