seed,target_coverage,cost_ratio,c_wrong,c_defer,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
3,0.6,5:1,5,1,uaat_monotone,0.6142171052631579,0.6476973684210527,0.0523828947368421,0.0852840050984886,0.3857828947368421,760000
3,0.6,5:1,5,1,uncertainty_grid,0.5998434210526316,0.6751631578947368,0.0550013157894736,0.0916927882495651,0.4001565789473684,760000
3,0.6,5:1,5,1,fixed,0.6000368421052632,0.6766671052631579,0.0553407894736842,0.0922289859394598,0.3999631578947368,760000
3,0.7,5:1,5,1,uaat_monotone,0.6821078947368421,0.7116289473684211,0.0787473684210526,0.1154470854664912,0.3178921052631579,760000
3,0.7,5:1,5,1,uncertainty_grid,0.7001552631578948,0.778107894736842,0.0956526315789473,0.1366163144264993,0.2998447368421052,760000
3,0.7,5:1,5,1,fixed,0.7003078947368421,0.779146052631579,0.0958907894736842,0.1369266149851381,0.2996921052631579,760000
3,0.8,5:1,5,1,uaat_monotone,0.7645907894736842,0.8280276315789473,0.1185236842105263,0.1550158409469117,0.2354092105263158,760000
3,0.8,5:1,5,1,fixed,0.8003276315789474,0.9339092105263158,0.1468473684210526,0.183484066558268,0.1996723684210526,760000
3,0.8,5:1,5,1,uncertainty_grid,0.8003065789473685,0.9343776315789474,0.1469368421052631,0.1836006924977763,0.1996934210526315,760000
3,0.9,5:1,5,1,uaat_monotone,0.8489907894736842,0.9862065789473684,0.1670394736842105,0.1967506311673457,0.1510092105263157,760000
3,0.9,5:1,5,1,fixed,0.9009513157894736,1.1381605263157897,0.2078223684210526,0.2306699205372099,0.0990486842105262,760000
3,0.9,5:1,5,1,uncertainty_grid,0.9009513157894736,1.1381605263157897,0.2078223684210526,0.2306699205372099,0.0990486842105262,760000
