policy,corruption,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
fixed,brightness,0.881675,0.252325,0.0268,0.030396688122040435,0.11832500000000001,40000
fixed,contrast,0.73495,0.7195499999999999,0.0909,0.12368188312130077,0.26505,40000
fixed,defocus_blur,0.75525,0.57175,0.0654,0.08659384309831182,0.24475000000000002,40000
fixed,elastic_transform,0.771625,0.5035000000000001,0.055025,0.07131054592580593,0.228375,40000
fixed,fog,0.8319,0.45172500000000004,0.056725,0.06818728212525543,0.16810000000000003,40000
fixed,frost,0.68755,0.7627,0.09005,0.13097229292415097,0.31245,40000
fixed,gaussian_blur,0.665225,0.8871500000000001,0.110475,0.166071629899658,0.33477500000000004,40000
fixed,gaussian_noise,0.544025,1.6080999999999999,0.230425,0.4235559027618216,0.455975,40000
fixed,glass_blur,0.484175,1.3013249999999998,0.1571,0.32446945835699903,0.515825,40000
fixed,impulse_noise,0.5589,1.171225,0.146025,0.2612721417069243,0.44110000000000005,40000
fixed,jpeg_compression,0.7303,0.5907,0.0642,0.08790907846090648,0.26970000000000005,40000
fixed,motion_blur,0.70845,0.751425,0.091975,0.12982567577104948,0.29155,40000
fixed,pixelate,0.712925,0.805075,0.1036,0.14531682855840375,0.28707499999999997,40000
fixed,saturate,0.86135,0.29952500000000004,0.032175,0.0373541533639055,0.13865000000000005,40000
fixed,shot_noise,0.584575,1.202425,0.1574,0.2692554419877689,0.41542500000000004,40000
fixed,snow,0.7312,0.61305,0.06885,0.09416028446389496,0.26880000000000004,40000
fixed,spatter,0.7848,0.49194999999999994,0.05535,0.07052752293577981,0.21519999999999995,40000
fixed,speckle_noise,0.58605,1.062575,0.129725,0.2213548332053579,0.41395000000000004,40000
fixed,zoom_blur,0.690925,0.7577,0.089725,0.12986214133227195,0.309075,40000
