seed,cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
1,2:1,2,1,0.6,fixed,0.4340632375966909,0.6793250917248954,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,2:1,2,1,0.6,uncertainty_grid,0.4340632375966909,0.6793250917248954,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,2:1,2,1,0.6,uaat_monotone,0.4530625598840878,0.6815451847351077,0.0673038723095978,0.1485531541754784,0.5469374401159122,42791
1,2:1,2,1,0.7,fixed,0.5421934518940899,0.7130003972798018,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,2:1,2,1,0.7,uncertainty_grid,0.5421934518940899,0.7130003972798018,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,2:1,2,1,0.7,uaat_monotone,0.5466570073146222,0.7162954826949592,0.1314762450047907,0.2405095759233926,0.4533429926853778,42791
1,2:1,2,1,0.8,uaat_monotone,0.660723049239326,0.7771727699749947,0.2189479096071603,0.331376224666643,0.339276950760674,42791
1,2:1,2,1,0.8,uncertainty_grid,0.6837419083452128,0.7796265569862821,0.2316842326657474,0.3388474947023036,0.3162580916547872,42791
1,2:1,2,1,0.8,fixed,0.6848870089504803,0.7804444859900446,0.2326657474702624,0.3397140614870167,0.3151129910495197,42791
1,2:1,2,1,0.9,fixed,0.8265756818022482,0.8658596433829543,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
1,2:1,2,1,0.9,uncertainty_grid,0.8265756818022482,0.8658596433829543,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
1,2:1,2,1,0.9,uaat_monotone,0.8234441821878432,0.8679161505924143,0.3456801663901288,0.4197979339312067,0.1765558178121568,42791
1,5:1,5,1,0.6,fixed,0.4340632375966909,0.8494075857072749,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,5:1,5,1,0.6,uncertainty_grid,0.4340632375966909,0.8494075857072749,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,5:1,5,1,0.6,uaat_monotone,0.4436446916407656,0.8652987777803745,0.0617886938842279,0.1392751790981879,0.5563553083592344,42791
1,5:1,5,1,0.7,uaat_monotone,0.5209740365964806,1.042228505994251,0.1126405085181463,0.2162113667967523,0.4790259634035194,42791
1,5:1,5,1,0.7,fixed,0.5421934518940899,1.0957911710406394,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,5:1,5,1,0.7,uncertainty_grid,0.5421934518940899,1.0957911710406394,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,5:1,5,1,0.8,uaat_monotone,0.6160407562337875,1.3145287560468322,0.1861139024561239,0.3021129699176814,0.3839592437662125,42791
1,5:1,5,1,0.8,uncertainty_grid,0.6837419083452128,1.4746792549835246,0.2316842326657474,0.3388474947023036,0.3162580916547872,42791
1,5:1,5,1,0.8,fixed,0.6848870089504803,1.4784417284008318,0.2326657474702624,0.3397140614870167,0.3151129910495197,42791
1,5:1,5,1,0.9,uaat_monotone,0.7394779276015985,1.6767077189128554,0.2832371293028908,0.3830231014758398,0.2605220723984015,42791
1,5:1,5,1,0.9,fixed,0.8265756818022482,1.9045126311607576,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
1,5:1,5,1,0.9,uncertainty_grid,0.8265756818022482,1.9045126311607576,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
1,10:1,10,1,0.6,uaat_monotone,0.4311420625832535,1.1128975719193288,0.0544039634502582,0.126185701122012,0.5688579374167465,42791
1,10:1,10,1,0.6,fixed,0.4340632375966909,1.1328784090112407,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,10:1,10,1,0.6,uncertainty_grid,0.4340632375966909,1.1328784090112407,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,10:1,10,1,0.7,uaat_monotone,0.4857797200345867,1.3919749480030847,0.0877754668037671,0.1806898542358204,0.5142202799654133,42791
1,10:1,10,1,0.7,fixed,0.5421934518940899,1.7337757939753686,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,10:1,10,1,0.7,uncertainty_grid,0.5421934518940899,1.7337757939753686,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,10:1,10,1,0.8,uaat_monotone,0.5714285714285714,1.949218293566404,0.1520646864994975,0.2661132013741207,0.4285714285714286,42791
1,10:1,10,1,0.8,uncertainty_grid,0.6837419083452128,2.633100418312262,0.2316842326657474,0.3388474947023036,0.3162580916547872,42791
1,10:1,10,1,0.8,fixed,0.6848870089504803,2.641770465752144,0.2326657474702624,0.3397140614870167,0.3151129910495197,42791
1,10:1,10,1,0.9,uaat_monotone,0.6290575120936646,2.329531910915847,0.1958589423009511,0.3113529979939074,0.3709424879063354,42791
1,10:1,10,1,0.9,fixed,0.8265756818022482,3.635600944123764,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
1,10:1,10,1,0.9,uncertainty_grid,0.8265756818022482,3.635600944123764,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
1,20:1,20,1,0.6,uaat_monotone,0.414456310906499,1.5105045453483208,0.0462480428127409,0.1115872568367634,0.585543689093501,42791
1,20:1,20,1,0.6,fixed,0.4340632375966909,1.6998200556191725,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,20:1,20,1,0.6,uncertainty_grid,0.4340632375966909,1.6998200556191725,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,20:1,20,1,0.7,uaat_monotone,0.446706083054848,1.8297305508167605,0.0638218316935804,0.1428720899816897,0.5532939169451521,42791
1,20:1,20,1,0.7,fixed,0.5421934518940899,3.009745039844827,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,20:1,20,1,0.7,uncertainty_grid,0.5421934518940899,3.009745039844827,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,20:1,20,1,0.8,uaat_monotone,0.4944030286742539,2.376551143932135,0.0935477086303194,0.1892134619020608,0.505596971325746,42791
1,20:1,20,1,0.8,uncertainty_grid,0.6837419083452128,4.949942744969737,0.2316842326657474,0.3388474947023036,0.3162580916547872,42791
1,20:1,20,1,0.8,fixed,0.6848870089504803,4.968427940454768,0.2326657474702624,0.3397140614870167,0.3151129910495197,42791
1,20:1,20,1,0.9,uaat_monotone,0.5633193895912691,3.3587903998504363,0.1461054894720852,0.2593652769135034,0.4366806104087308,42791
1,20:1,20,1,0.9,fixed,0.8265756818022482,7.097777570049776,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
1,20:1,20,1,0.9,uncertainty_grid,0.8265756818022482,7.097777570049776,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
