seed,target_coverage,cost_ratio,c_wrong,c_defer,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
1,0.6,5:1,5,1,fixed,0.4340632375966909,0.8494075857072749,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,0.6,5:1,5,1,uncertainty_grid,0.4340632375966909,0.8494075857072749,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,0.6,5:1,5,1,uaat_monotone,0.4436446916407656,0.8652987777803745,0.0617886938842279,0.1392751790981879,0.5563553083592344,42791
1,0.7,5:1,5,1,uaat_monotone,0.5209740365964806,1.042228505994251,0.1126405085181463,0.2162113667967523,0.4790259634035194,42791
1,0.7,5:1,5,1,fixed,0.5421934518940899,1.0957911710406394,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,0.7,5:1,5,1,uncertainty_grid,0.5421934518940899,1.0957911710406394,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,0.8,5:1,5,1,uaat_monotone,0.6160407562337875,1.3145287560468322,0.1861139024561239,0.3021129699176814,0.3839592437662125,42791
1,0.8,5:1,5,1,uncertainty_grid,0.6837419083452128,1.4746792549835246,0.2316842326657474,0.3388474947023036,0.3162580916547872,42791
1,0.8,5:1,5,1,fixed,0.6848870089504803,1.4784417284008318,0.2326657474702624,0.3397140614870167,0.3151129910495197,42791
1,0.9,5:1,5,1,uaat_monotone,0.7394779276015985,1.6767077189128554,0.2832371293028908,0.3830231014758398,0.2605220723984015,42791
1,0.9,5:1,5,1,fixed,0.8265756818022482,1.9045126311607576,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
1,0.9,5:1,5,1,uncertainty_grid,0.8265756818022482,1.9045126311607576,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
